Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,vaccinated,1997,1741,6.86379,1126,20.09996
1,people,2877,2578,10.16361,1567,27.97215
1,mask,1610,1331,5.24739,890,15.88718
1,child,884,697,2.74788,492,8.78258
1,fully,882,793,3.12636,621,11.08533
1,wear,601,551,2.17228,451,8.0507
1,kid,580,493,1.94362,396,7.0689
1,say,1190,1136,4.47861,791,14.11996
1,getting,578,558,2.19988,462,8.24705
1,health,1850,1669,6.57993,1025,18.29704
1,need,1085,1005,3.96215,765,13.65584
1,risk,639,570,2.24719,433,7.72938
1,said,596,582,2.2945,457,8.1578
1,pandemic,4060,3908,15.40706,2126,37.95073
1,died,628,555,2.18805,460,8.21135
2,case,2734,2069,8.15691,1103,19.6894
2,new,2528,2175,8.57481,1239,22.1171
2,death,1791,1552,6.11867,907,16.19065
2,ontario,1386,1323,5.21585,753,13.44163
2,report,710,671,2.64538,487,8.69332
2,number,625,570,2.24719,457,8.1578
2,june,556,456,1.79775,384,6.85469
2,reporting,401,373,1.47053,261,4.65905
2,day,1241,1131,4.4589,823,14.69118
2,today,1272,1220,4.80978,861,15.36951
2,breaking,369,369,1.45476,277,4.94466
2,bc,520,462,1.82141,319,5.69439
2,reported,319,312,1.23004,249,4.44484
2,health,1850,1669,6.57993,1025,18.29704
2,rate,523,483,1.9042,391,6.97965
3,vaccine,4099,3437,13.55017,1807,32.25634
3,dose,971,767,3.02385,537,9.58586
3,shot,646,561,2.21171,475,8.47911
3,clinic,503,431,1.69919,304,5.42663
3,dos,604,532,2.09738,385,6.87255
3,second,495,478,1.88449,401,7.15816
3,pfizer,419,402,1.58486,338,6.03356
3,appointment,405,334,1.31678,251,4.48054
3,book,374,333,1.31283,259,4.62335
3,12,671,620,2.44431,481,8.58622
3,vaccination,1198,1116,4.39976,754,13.45948
3,moderna,329,318,1.2537,279,4.98036
3,today,1272,1220,4.80978,861,15.36951
3,received,325,302,1.19062,255,4.55195
3,july,767,709,2.79519,502,8.96109
4,pandemic,4060,3908,15.40706,2126,37.95073
4,canada,1750,1613,6.35916,1020,18.20778
4,government,995,953,3.75715,695,12.40628
4,job,522,420,1.65582,361,6.44413
4,canadian,828,786,3.09876,607,10.83542
4,nurse,496,404,1.59275,283,5.05177
4,trudeau,434,410,1.6164,309,5.51589
4,cdnpoli,791,789,3.11059,531,9.47876
4,year,1060,990,3.90302,746,13.31667
4,ableg,429,429,1.69131,215,3.83792
4,alberta,586,537,2.11709,352,6.28347
4,right,643,624,2.46008,488,8.71117
4,pay,346,336,1.32466,291,5.19457
4,trump,383,329,1.29706,244,4.35559
4,time,1122,1063,4.19081,824,14.70903
5,variant,1429,1279,5.04238,828,14.78044
5,delta,1070,1007,3.97004,657,11.72795
5,le,728,554,2.18411,374,6.67619
5,wuhan,291,276,1.08811,205,3.65941
5,lab,296,247,0.97378,202,3.60586
5,scientist,251,248,0.97773,218,3.89147
5,et,332,266,1.04869,156,2.78472
5,lockdown,992,899,3.54425,575,10.26419
5,country,775,724,2.85433,566,10.10353
5,virus,645,606,2.38912,455,8.1221
5,outbreak,494,464,1.82929,362,6.46198
5,expert,304,301,1.18667,253,4.51624
5,australia,153,144,0.56771,124,2.2135
5,unvaccinated,537,525,2.06978,426,7.60443
5,pour,233,194,0.76483,108,1.92788
