Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,pandemic,65562,63622,12.77863,9499,57.75873
1,time,25313,23930,4.8064,6734,40.94613
1,start,5256,5112,1.02676,2768,16.83084
1,look,7796,7540,1.51443,3648,22.18169
1,month,12777,12261,2.46265,4475,27.21026
1,way,10437,10088,2.0262,4261,25.90904
1,change,5019,4742,0.95244,2691,16.36264
1,worse,3969,3780,0.75922,2148,13.06093
1,making,3906,3863,0.77589,2287,13.90612
1,medium,5777,5484,1.10147,2468,15.00669
1,going,16215,15104,3.03367,5276,32.08075
1,lot,5012,4873,0.97875,2690,16.35656
1,story,5203,4813,0.9667,2579,15.68162
1,come,8634,8268,1.66065,3832,23.3005
1,thing,11939,11335,2.27666,4482,27.25283
2,mask,36218,30533,6.13263,6831,41.53594
2,wear,16547,15345,3.08208,4990,30.34172
2,want,16438,15017,3.0162,5063,30.7856
2,know,18771,17677,3.55047,5614,34.13596
2,life,16981,16110,3.23573,5123,31.15043
2,right,15943,14923,2.99732,4980,30.28092
2,people,63747,56149,11.27766,8769,53.31996
2,social,8800,8548,1.71689,4044,24.58957
2,think,13096,12449,2.50041,4574,27.81223
2,really,8517,8116,1.63012,3662,22.26681
2,thing,11939,11335,2.27666,4482,27.25283
2,hand,6055,5823,1.16956,3041,18.49082
2,make,14295,13754,2.76252,5032,30.59711
2,distancing,5081,4960,0.99623,2804,17.04974
2,wearing,4891,4565,0.91689,2605,15.83972
3,case,62800,48970,9.83574,7089,43.10471
3,new,46538,39634,7.96058,7194,43.74316
3,death,31232,26136,5.24948,5395,32.80433
3,number,17376,15980,3.20962,4857,29.53302
3,day,31888,28375,5.69919,6621,40.25903
3,record,9214,8748,1.75706,3136,19.06847
3,report,8991,8679,1.7432,3255,19.79205
3,today,23856,22654,4.55011,6137,37.31606
3,ontario,21862,20380,4.09337,4093,24.88751
3,daily,7134,6663,1.33828,2827,17.18959
3,reported,5992,5599,1.12457,2481,15.08574
3,high,6023,5724,1.14968,2801,17.0315
3,nov,7899,5382,1.08099,2355,14.31959
3,rate,9462,8535,1.71428,3390,20.61291
3,total,6141,5247,1.05387,2289,13.91828
4,home,28014,24941,5.00946,6701,40.74547
4,stay,17590,15199,3.05276,5445,33.10835
4,safe,8015,7660,1.53853,3507,21.32433
4,thanksgiving,5627,5354,1.07536,2217,13.48048
4,people,63747,56149,11.27766,8769,53.31996
4,family,14073,13064,2.62394,4658,28.323
4,christmas,4868,4565,0.91689,2538,15.43232
4,travel,4843,4448,0.89339,2427,14.75739
4,resident,4843,4232,0.85001,2089,12.70218
4,pay,6176,5511,1.1069,2831,17.21391
4,holiday,4327,4134,0.83032,2284,13.88788
4,work,17135,15996,3.21284,5439,33.07187
4,care,19698,17716,3.5583,4997,30.38429
4,march,3853,3788,0.76083,2239,13.61425
4,sick,7335,6767,1.35917,2988,18.16855
5,lockdown,34542,31423,6.31139,6845,41.62106
5,business,15960,14188,2.84969,4757,28.92497
5,toronto,11196,10554,2.1198,3223,19.59747
5,restriction,10351,10008,2.01013,3883,23.6106
5,open,7570,7127,1.43148,3403,20.69196
5,small,6845,6362,1.27782,3129,19.0259
5,city,6006,5505,1.10569,2660,16.17415
5,order,6735,6276,1.26055,2880,17.51186
5,second,7600,7170,1.44011,3290,20.00486
5,close,5599,5433,1.09123,2984,18.14423
5,restaurant,5156,4825,0.96911,2638,16.04037
5,measure,9062,8535,1.71428,3505,21.31217
5,rule,4462,4185,0.84057,2362,14.36215
5,wave,6767,6221,1.2495,2635,16.02213
5,peel,4364,4236,0.85081,1626,9.8869
6,trump,28700,25181,5.05766,3933,23.91463
6,american,13651,12303,2.47109,3168,19.26304
6,biden,9213,8576,1.72251,2696,16.39304
6,president,8118,7521,1.51061,2587,15.73027
6,realdonaldtrump,5246,5159,1.0362,1823,11.08476
6,election,7858,7289,1.46401,2701,16.42345
6,house,5505,5281,1.0607,2495,15.17086
6,america,5406,5151,1.03459,2246,13.65682
6,team,4533,4171,0.83776,2313,14.06421
6,said,11491,10794,2.168,4016,24.41931
6,governor,4042,3842,0.77167,1767,10.74425
6,donald,3538,3365,0.67587,1486,9.03563
6,republican,5236,4954,0.99502,1681,10.22133
6,force,4317,4189,0.84137,2183,13.27374
6,joe,3038,2991,0.60075,1657,10.0754
7,people,63747,56149,11.27766,8769,53.31996
7,hospital,15665,14366,2.88545,4230,25.72054
7,died,11995,10998,2.20897,3797,23.08768
7,patient,10151,9231,1.85407,3532,21.47635
7,real,6792,6315,1.26838,3187,19.37857
7,dying,5391,5191,1.04262,2564,15.59042
7,die,6291,5962,1.19748,2566,15.60258
7,icu,9091,8044,1.61566,2743,16.67883
7,believe,4943,4696,0.9432,2539,15.4384
7,nurse,5176,4782,0.96048,2432,14.78779
7,person,5212,4950,0.99422,2748,16.70923
7,doctor,8509,8136,1.63414,3307,20.10823
7,risk,7390,6957,1.39733,3242,19.713
7,bed,3725,3124,0.62746,1749,10.6348
7,care,19698,17716,3.5583,4997,30.38429
8,health,35086,31597,6.34633,6753,41.06166
8,public,18885,17564,3.52777,5173,31.45446
8,dr,10854,10175,2.04367,3769,22.91743
8,say,26455,24725,4.96608,6075,36.93907
8,medical,6692,6389,1.28325,2915,17.72467
8,expert,6100,5658,1.13642,2699,16.41129
8,official,5708,5594,1.12357,2645,16.08294
8,advice,4056,3789,0.76103,1963,11.93603
8,plan,10193,9372,1.88239,3851,23.41603
8,follow,3904,3816,0.76645,2246,13.65682
8,outbreak,8253,7563,1.51905,2811,17.0923
8,bcpoli,4068,4057,0.81486,826,5.0225
8,bc,7868,7107,1.42746,2182,13.26766
8,spread,12588,11989,2.40802,4406,26.79071
8,minister,6671,6370,1.27943,2652,16.1255
9,vaccine,23992,19907,3.99837,5338,32.45774
9,flu,6676,5343,1.07315,2211,13.444
9,end,6396,6207,1.24669,3134,19.05631
9,effective,4373,4086,0.82068,2327,14.14934
9,news,12363,11947,2.39958,4164,25.31923
9,true,3031,2841,0.57062,1917,11.65633
9,study,3662,3299,0.66261,1732,10.53144
9,free,3726,3465,0.69595,2204,13.40143
9,pfizer,3162,2990,0.60055,1718,10.44631
9,exactly,2278,2258,0.45352,1479,8.99307
9,early,3192,3123,0.62726,1978,12.02724
9,company,2690,2592,0.52061,1663,10.11188
9,say,26455,24725,4.96608,6075,36.93907
9,research,2449,2209,0.44368,1447,8.79849
9,immunity,2288,2070,0.41576,1263,7.67968
10,alberta,18669,17083,3.43116,2934,17.8402
10,ableg,14371,14193,2.8507,1480,8.99915
10,jkenney,7167,7005,1.40697,1467,8.9201
10,kenney,7424,6807,1.3672,1326,8.06275
10,cdnpoli,15417,15376,3.08831,2878,17.4997
10,covid19ab,6184,6176,1.24046,1222,7.43038
10,app,5033,4091,0.82169,1585,9.6376
10,abpoli,5082,5079,1.02013,1089,6.62167
10,albertans,5129,4680,0.93999,1164,7.07771
10,contact,6286,5851,1.17519,2709,16.47209
10,jason,3744,3658,0.73472,1014,6.16563
10,ucp,4033,3743,0.75179,751,4.56646
10,yyc,3618,3564,0.71584,842,5.11979
10,leadership,4728,4647,0.93336,2069,12.58057
10,abhealth,3296,3212,0.64514,664,4.03746
11,test,16728,14039,2.81977,4555,27.6967
11,positive,13795,13027,2.6165,4179,25.41043
11,great,10265,9723,1.95289,3891,23.65925
11,tested,8762,8297,1.66647,3378,20.53995
11,reset,7321,6508,1.30715,1735,10.54968
11,testing,7720,6978,1.40155,3145,19.12319
11,yes,3933,3801,0.76344,2269,13.79667
11,global,5681,5473,1.09927,2753,16.73963
11,thought,4205,4137,0.83093,2585,15.71811
11,pandemic,65562,63622,12.77863,9499,57.75873
11,conspiracy,3493,3388,0.68049,1857,11.2915
11,opportunity,3445,3279,0.6586,1773,10.78074
11,trudeau,13053,11998,2.40983,2911,17.70035
11,kelly,2863,2490,0.50012,974,5.92241
11,came,2714,2324,0.46678,1678,10.20309
12,death,31232,26136,5.24948,5395,32.80433
12,million,13550,11439,2.29755,3948,24.00584
12,le,8410,6906,1.38709,2901,17.63955
12,2020,5385,5042,1.0127,2690,16.35656
12,dead,4278,3908,0.78493,1982,12.05156
12,population,4301,3915,0.78634,2201,13.38319
12,et,3838,3070,0.61662,981,5.96498
12,south,3383,3083,0.61923,1697,10.31862
12,20,4890,4677,0.93939,2514,15.28639
12,year,15077,13799,2.77156,5253,31.9409
12,tweet,4039,3782,0.75962,2345,14.25879
12,dakota,2375,2179,0.43766,1148,6.98042
12,age,2317,1973,0.39628,1300,7.90466
12,rest,2652,2550,0.51217,1747,10.62264
12,cause,3207,2963,0.59513,1818,11.05436
13,canada,24871,22260,4.47097,5298,32.21452
13,canadian,14139,13320,2.67535,4055,24.65645
13,trudeau,13053,11998,2.40983,2911,17.70035
13,country,13067,12512,2.51307,4325,26.29819
13,vote,5795,4804,0.9649,2186,13.29199
13,world,10981,10489,2.10674,4118,25.03952
13,leader,6580,6288,1.26296,2906,17.66995
13,national,4873,4688,0.9416,2384,14.49593
13,conservative,5025,4526,0.90906,1668,10.14228
13,china,4319,3694,0.74195,1727,10.50103
13,economy,7361,6825,1.37082,2907,17.67603
13,cdnpoli,15417,15376,3.08831,2878,17.4997
13,power,3819,3597,0.72247,2002,12.17317
13,liberal,3244,3062,0.61501,1477,8.98091
13,pm,5566,5105,1.02535,2492,15.15262
14,onpoli,13821,13778,2.76734,2430,14.77563
14,good,11261,10845,2.17824,4609,28.02505
14,fordnation,10452,10280,2.06476,2343,14.24663
14,ford,11370,10297,2.06818,2337,14.21014
14,read,6333,6228,1.25091,3102,18.86173
14,premier,13053,12283,2.46707,3170,19.2752
14,doug,6580,6137,1.23263,1804,10.96923
14,ontario,21862,20380,4.09337,4093,24.88751
14,thread,4191,4148,0.83314,2001,12.16709
14,government,21637,20441,4.10562,5242,31.87401
14,need,28978,25673,5.15648,6643,40.3928
14,question,5204,4867,0.97755,2632,16.00389
14,federal,7401,7121,1.43027,2841,17.27472
14,celliottability,2552,2515,0.50514,910,5.53326
14,money,5988,5524,1.10951,2718,16.52682
15,worker,11993,10766,2.16238,3867,23.51332
15,school,17185,13455,2.70247,3922,23.84774
15,care,19698,17716,3.5583,4997,30.38429
15,thank,4621,4491,0.90203,2631,15.99781
15,pandemic,65562,63622,12.77863,9499,57.75873
15,healthcare,6566,6144,1.23404,2549,15.49921
15,child,5580,4872,0.97855,2393,14.55065
15,wearamask,2943,2904,0.58328,1419,8.62824
15,kid,4989,4384,0.88054,2380,14.4716
15,community,8154,7855,1.5777,3408,20.72236
15,support,10865,10008,2.01013,4093,24.88751
15,student,3638,3259,0.65458,1706,10.37334
15,food,3764,3481,0.69917,2019,12.27654
15,relief,5597,5122,1.02877,2042,12.41639
15,help,14238,13433,2.69805,4925,29.94649
