Topic Number,Compound (Mean),Compound (Std Dev),Positive (Mean),Positive (Std Dev),Negative (Mean),Negative (Std Dev),Neutral (Mean),Neutral (Std Dev)
1,0.00537,0.41915,0.07003,0.10596,0.06851,0.10723,0.86146,0.14654
2,-0.006,0.49671,0.09968,0.121,0.09744,0.12092,0.80288,0.15011
3,0.03293,0.33973,0.04832,0.07353,0.03593,0.07119,0.91575,0.09853
4,0.07696,0.44294,0.0939,0.11632,0.06988,0.10354,0.8362,0.14338
5,0.02258,0.38818,0.06476,0.0912,0.05605,0.08248,0.87919,0.11634
6,-0.05957,0.43265,0.06568,0.09437,0.08408,0.1078,0.85025,0.13152
7,-0.15043,0.46774,0.07207,0.09918,0.12089,0.12562,0.80704,0.14484
8,0.06224,0.37372,0.06911,0.09165,0.04724,0.07716,0.88365,0.11507
9,0.06841,0.44745,0.0953,0.11955,0.06435,0.09603,0.84034,0.13655
10,-0.04424,0.42564,0.06982,0.11155,0.0779,0.10423,0.85228,0.1386
11,0.08508,0.43709,0.10004,0.12236,0.06488,0.09813,0.83507,0.14106
12,-0.12658,0.38993,0.0394,0.0761,0.08218,0.12313,0.87842,0.14607
13,-0.04052,0.47503,0.08239,0.10293,0.09374,0.11256,0.82387,0.13472
14,0.00084,0.43231,0.08142,0.11679,0.07476,0.10509,0.84382,0.14214
15,0.09237,0.47284,0.10324,0.1208,0.06878,0.09268,0.82798,0.1333
