Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,52567,10.55821,9801,59.59504
2,45709,9.18076,8802,53.52061
3,36672,7.36566,6050,36.78706
4,29534,5.93198,7527,45.76797
5,33462,6.72092,7332,44.58227
6,36233,7.27749,5556,33.78329
7,28444,5.71305,6533,39.72395
8,29384,5.90185,6446,39.19494
9,29398,5.90466,6691,40.68466
10,29070,5.83878,4469,27.17378
11,26067,5.23562,5930,36.0574
12,21585,4.3354,5250,31.92266
13,34199,6.86895,6257,38.04573
14,31496,6.32605,6142,37.34647
15,34058,6.84063,7639,46.44898
