Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,going,5796,5324,2.24537,2685,21.10683
1,good,4429,4306,1.81603,2356,18.52056
1,know,8693,8104,3.41782,3323,26.12216
1,way,4965,4783,2.01721,2584,20.31287
1,look,3460,3364,1.41875,1982,15.58054
1,right,6112,5655,2.38497,2726,21.42913
1,time,11294,10273,4.33259,3951,31.05888
1,people,29416,25965,10.95061,5760,45.27946
1,make,6993,6707,2.82864,3106,24.41632
1,pandemic,34479,33491,14.12467,6682,52.52732
1,really,3284,3103,1.30868,1904,14.96738
1,better,3112,3020,1.27367,1823,14.33063
1,life,7535,7156,3.01801,3093,24.31413
1,thing,5644,5462,2.30357,2677,21.04394
1,story,3273,3001,1.26566,1712,13.45806
2,case,22139,17053,7.19202,4218,33.15777
2,new,20234,17541,7.39783,4710,37.02539
2,death,13842,11577,4.88254,3404,26.7589
2,ontario,18211,16401,6.91704,3768,29.62031
2,report,4297,4195,1.76922,1896,14.90449
2,number,6240,5661,2.3875,2488,19.55821
2,bc,3829,3456,1.45755,1325,10.41585
2,dec,5114,4201,1.77175,1877,14.75513
2,variant,6640,6072,2.56084,2362,18.56772
2,record,3395,3156,1.33103,1702,13.37945
2,breaking,4942,4899,2.06613,2260,17.7659
2,today,9862,9375,3.95386,3512,27.60789
2,uk,7228,6574,2.77255,2582,20.29715
2,reported,2955,2707,1.14166,1403,11.02901
2,day,17474,15832,6.67707,4648,36.53801
3,vaccine,24125,20222,8.52853,4916,38.64476
3,vaccination,6449,5780,2.43769,2260,17.7659
3,dos,4873,3692,1.55708,1835,14.42497
3,moderna,3421,3093,1.30446,1599,12.56977
3,canada,15471,13877,5.85256,4115,32.34809
3,vaccinated,2557,2361,0.99574,1453,11.42206
3,use,1981,1926,0.81228,1333,10.47874
3,rollout,1671,1659,0.69968,996,7.82957
3,administered,1628,1393,0.58749,880,6.9177
3,million,8759,7685,3.24111,2916,22.92273
3,shot,1471,1366,0.5761,948,7.45224
3,received,1583,1544,0.65117,1100,8.64712
3,health,14560,13463,5.67796,4240,33.33071
3,end,4830,4588,1.93497,2360,18.552
3,approved,1111,1085,0.45759,795,6.24951
4,trump,12480,11219,4.73156,2319,18.2297
4,relief,9846,9126,3.84885,2329,18.30831
