Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,going,5796,5324,2685
1,good,4429,4306,2356
1,know,8693,8104,3323
1,way,4965,4783,2584
1,look,3460,3364,1982
1,right,6112,5655,2726
1,time,11294,10273,3951
1,people,29416,25965,5760
1,make,6993,6707,3106
1,pandemic,34479,33491,6682
1,really,3284,3103,1904
1,better,3112,3020,1823
1,life,7535,7156,3093
1,thing,5644,5462,2677
1,story,3273,3001,1712
2,case,22139,17053,4218
2,new,20234,17541,4710
2,death,13842,11577,3404
2,ontario,18211,16401,3768
2,report,4297,4195,1896
2,number,6240,5661,2488
2,bc,3829,3456,1325
2,dec,5114,4201,1877
2,variant,6640,6072,2362
2,record,3395,3156,1702
2,breaking,4942,4899,2260
2,today,9862,9375,3512
2,uk,7228,6574,2582
2,reported,2955,2707,1403
2,day,17474,15832,4648
3,vaccine,24125,20222,4916
3,vaccination,6449,5780,2260
3,dos,4873,3692,1835
3,moderna,3421,3093,1599
3,canada,15471,13877,4115
3,vaccinated,2557,2361,1453
3,use,1981,1926,1333
3,rollout,1671,1659,996
3,administered,1628,1393,880
3,million,8759,7685,2916
3,shot,1471,1366,948
3,received,1583,1544,1100
3,health,14560,13463,4240
3,end,4830,4588,2360
3,approved,1111,1085,795
4,trump,12480,11219,2319
4,relief,9846,9126,2329
4,american,10119,9331,2325
4,2000,4389,4218,1520
4,check,4268,4019,1713
4,president,4303,4157,1655
4,republican,3562,3329,1186
4,sign,3178,3028,1430
4,pandemic,34479,33491,6682
4,million,8759,7685,2916
4,congress,2447,2241,1073
4,house,3242,3015,1566
4,realdonaldtrump,2445,2352,1124
4,vote,2141,1897,1062
4,america,1956,1802,1074
5,ontario,18211,16401,3768
5,ford,7436,6332,1771
5,minister,5708,5315,2147
5,fordnation,7466,7284,1999
5,government,11214,10588,3558
5,vacation,3481,3402,1693
5,phillips,3553,3240,1410
5,onpoli,9601,9580,2027
5,premier,3932,3649,1605
5,finance,2617,2590,1346
5,doug,3398,3221,1203
5,rod,2628,2569,1244
5,st,2264,2203,1242
5,politician,3011,2854,1603
5,pandemic,34479,33491,6682
6,stay,9072,8479,3681
6,home,15630,14314,4565
6,travel,6023,5337,2443
6,public,6942,6483,2834
6,uk,7228,6574,2582
6,health,14560,13463,4240
6,variant,6640,6072,2362
6,canada,15471,13877,4115
6,say,11723,10941,3750
6,spread,6200,5886,2852
6,trudeau,4895,4582,1374
6,strain,2519,2342,1321
6,safe,4177,3970,2160
6,new,20234,17541,4710
6,canadian,7028,6464,2674
7,pandemic,34479,33491,6682
7,ableg,3736,3733,751
7,2020,6194,5979,2927
7,alberta,3473,3213,1094
7,global,2406,2354,1466
7,government,11214,10588,3558
7,response,3314,3214,1795
7,federal,3403,3195,1671
7,world,5334,5107,2540
7,kenney,1700,1530,552
7,jkenney,1423,1389,540
7,ucp,1698,1549,477
7,year,15498,13740,4920
7,economy,1872,1803,1208
7,abpoli,1269,1267,392
8,people,29416,25965,5760
8,sick,4313,3296,1739
8,virus,9135,8158,3158
8,work,7999,7211,3170
8,believe,2263,2186,1456
8,think,6297,6099,2864
8,leave,2099,1896,1169
8,disease,1887,1817,1196
8,seen,1874,1833,1273
8,life,7535,7156,3093
8,die,2390,2233,1303
8,understand,1411,1333,996
8,science,1976,1833,1170
8,spread,6200,5886,2852
8,normal,1397,1214,947
9,lockdown,16154,14813,4276
9,year,15498,13740,4920
9,stop,4292,3730,2142
9,business,4577,4105,2075
9,open,2929,2757,1677
9,end,4830,4588,2360
9,toronto,3945,3785,1597
9,shut,1987,1875,1268
9,restriction,2453,2361,1444
9,day,17474,15832,4648
9,new,20234,17541,4710
9,close,2298,2134,1464
9,small,2755,2671,1620
9,store,1731,1608,1095
9,light,1460,1163,913
10,test,7348,6315,2800
10,le,5270,4267,1928
10,canada,15471,13877,4115
10,testing,3354,3028,1656
10,positive,4501,4234,2103
10,negative,2022,1924,1360
10,air,1649,1511,1096
10,et,2280,1844,698
10,result,1568,1517,1085
10,du,1554,1280,368
10,plus,1317,1235,714
10,tested,2898,2569,1510
10,justintrudeau,2017,1997,964
10,au,1478,1193,386
10,pour,1444,1241,398
11,mask,8711,7682,3191
11,wear,4444,4234,2203
11,social,3338,3252,1948
11,twitter,2152,1886,1284
11,protect,2798,2598,1611
11,face,2194,2109,1443
11,hand,1921,1842,1276
11,distancing,1796,1742,1201
11,post,1694,1671,1220
11,wearing,1628,1407,1054
11,ask,1361,1344,1015
11,account,1173,1150,896
11,god,975,910,709
11,covidiot,663,660,398
11,damn,739,698,546
12,care,9467,8400,3137
12,hospital,9064,7926,2937
12,worker,7483,6593,2671
12,patient,5122,4656,2124
12,staff,4447,4083,1924
12,doctor,4232,3911,2020
12,resident,3793,3134,1431
12,home,15630,14314,4565
12,outbreak,4746,4475,1911
12,health,14560,13463,4240
12,healthcare,2780,2671,1500
12,need,11665,10578,3904
12,nurse,2254,2115,1304
12,ltc,4368,4064,1346
12,help,6123,5778,2690
13,christmas,11691,10761,4017
13,family,9111,8443,3369
13,day,17474,15832,4648
13,holiday,8135,7572,3110
13,friend,3004,2793,1705
13,people,29416,25965,5760
13,merry,1502,1481,1081
13,season,1528,1474,1113
13,eve,2999,2899,1816
13,tonight,1864,1780,1252
13,safe,4177,3970,2160
13,hope,2241,2175,1439
13,pandemic,34479,33491,6682
13,stayhome,1167,1158,621
13,loved,1776,1738,1136
14,died,8617,7902,2784
14,death,13842,11577,3404
14,year,15498,13740,4920
14,china,4675,3896,1659
14,american,10119,9331,2325
14,wuhan,2049,1982,1098
14,1000,1597,1574,1044
14,citizen,2116,2086,1377
14,flu,2227,1944,1221
14,old,2199,2007,1370
14,journalist,1516,1456,944
14,state,4207,3880,1829
14,man,1973,1878,1323
14,dead,1828,1774,1101
14,million,8759,7685,2916
15,onpoli,9601,9580,2027
15,time,11294,10273,3951
15,cdnpoli,7633,7618,1859
