Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
pandemic,34479,33491,14.12467,6682,52.52732
people,29416,25965,10.95061,5760,45.27946
vaccine,24125,20222,8.52853,4916,38.64476
case,22139,17053,7.19202,4218,33.15777
new,20234,17541,7.39783,4710,37.02539
ontario,18211,16401,6.91704,3768,29.62031
day,17474,15832,6.67707,4648,36.53801
lockdown,16154,14813,6.24731,4276,33.61371
one,16144,14631,6.17055,4664,36.66378
home,15630,14314,6.03686,4565,35.88554
year,15498,13740,5.79478,4920,38.6762
canada,15471,13877,5.85256,4115,32.34809
get,15440,14203,5.99005,4512,35.46891
health,14560,13463,5.67796,4240,33.33071
death,13842,11577,4.88254,3404,26.7589
trump,12480,11219,4.73156,2319,18.2297
say,11723,10941,4.61431,3750,29.47881
christmas,11691,10761,4.5384,4017,31.57771
need,11665,10578,4.46122,3904,30.68941
time,11294,10273,4.33259,3951,31.05888
government,11214,10588,4.46544,3558,27.9695
de,10974,5120,2.15934,831,6.53251
american,10119,9331,3.9353,2325,18.27687
today,9862,9375,3.95386,3512,27.60789
relief,9846,9126,3.84885,2329,18.30831
u,9825,8822,3.72064,3569,28.05597
first,9633,8861,3.73708,3562,28.00094
onpoli,9601,9580,4.04032,2027,15.93428
care,9467,8400,3.54266,3137,24.66001
virus,9135,8158,3.4406,3158,24.82509
family,9111,8443,3.56079,3369,26.48377
stay,9072,8479,3.57598,3681,28.9364
hospital,9064,7926,3.34275,2937,23.08781
many,9040,8253,3.48066,3306,25.98852
would,8994,8304,3.50217,3287,25.83916
million,8759,7685,3.24111,2916,22.92273
mask,8711,7682,3.23985,3191,25.08451
know,8693,8104,3.41782,3323,26.12216
died,8617,7902,3.33263,2784,21.88507
bill,8523,7329,3.09097,2081,16.35878
take,8377,8108,3.41951,3363,26.4366
holiday,8135,7572,3.19345,3110,24.44776
week,8128,7696,3.24575,3151,24.77007
work,7999,7211,3.0412,3170,24.91942
country,7818,7511,3.16773,3092,24.30627
cdnpoli,7633,7618,3.21285,1859,14.61363
life,7535,7156,3.01801,3093,24.31413
1,7530,6831,2.88094,3053,23.99969
worker,7483,6593,2.78057,2671,20.99678
month,7483,7079,2.98553,2950,23.19
fordnation,7466,7284,3.07199,1999,15.71417
ford,7436,6332,2.67049,1771,13.92186
test,7348,6315,2.66332,2800,22.01085
uk,7228,6574,2.77255,2582,20.29715
canadian,7028,6464,2.72616,2674,21.02036
make,6993,6707,2.82864,3106,24.41632
public,6942,6483,2.73417,2834,22.27812
every,6746,6339,2.67344,2934,23.06422
still,6713,6197,2.61355,3007,23.63808
variant,6640,6072,2.56084,2362,18.56772
go,6604,6338,2.67302,3025,23.77958
vaccination,6449,5780,2.43769,2260,17.7659
see,6442,5993,2.52752,2871,22.56898
2,6310,5972,2.51866,2781,21.86149
think,6297,6099,2.57222,2864,22.51395
number,6240,5661,2.3875,2488,19.55821
spread,6200,5886,2.48239,2852,22.41962
2020,6194,5979,2.52161,2927,23.0092
help,6123,5778,2.43684,2690,21.14614
right,6112,5655,2.38497,2726,21.42913
travel,6023,5337,2.25085,2443,19.20447
last,5932,5718,2.41154,2680,21.06753
even,5911,5754,2.42672,2731,21.46844
please,5864,5382,2.26983,2661,20.91817
want,5858,5596,2.36009,2675,21.02822
going,5796,5324,2.24537,2685,21.10683
minister,5708,5315,2.24158,2147,16.8776
could,5695,5431,2.2905,2671,20.99678
thing,5644,5462,2.30357,2677,21.04394
via,5613,5603,2.36304,2298,18.06462
province,5460,5169,2.18,2177,17.11343
back,5430,5323,2.24495,2709,21.2955
US,5385,4897,2.06529,2092,16.44525
since,5355,5182,2.18548,2517,19.78618
world,5334,5107,2.15385,2540,19.96698
said,5334,5065,2.13614,2392,18.80355
le,5270,4267,1.79959,1928,15.15604
patient,5122,4656,1.96365,2124,16.6968
dec,5114,4201,1.77175,1877,14.75513
news,5022,4773,2.01299,2239,17.60082
two,4977,4843,2.04251,2492,19.58965
way,4965,4783,2.01721,2584,20.31287
breaking,4942,4899,2.06613,2260,17.7659
well,4937,4572,1.92822,2467,19.39313
also,4913,4818,2.03197,2452,19.27521
trudeau,4895,4582,1.93244,1374,10.80104
dos,4873,3692,1.55708,1835,14.42497
never,4830,4707,1.98515,2429,19.09441
end,4830,4588,1.93497,2360,18.552
outbreak,4746,4475,1.88731,1911,15.0224
much,4727,4559,1.92274,2445,19.22019
china,4675,3896,1.64312,1659,13.04143
keep,4624,4446,1.87508,2367,18.60703
dr,4594,4294,1.81097,2122,16.68108
business,4577,4105,1.73126,2075,16.31161
positive,4501,4234,1.78567,2103,16.53172
staff,4447,4083,1.72199,1924,15.1246
wear,4444,4234,1.78567,2203,17.31782
good,4429,4306,1.81603,2356,18.52056
2000,4389,4218,1.77892,1520,11.94875
ltc,4368,4064,1.71397,1346,10.58093
another,4322,4225,1.78187,2256,17.73445
sick,4313,3296,1.39007,1739,13.67031
president,4303,4157,1.75319,1655,13.00998
report,4297,4195,1.76922,1896,14.90449
stop,4292,3730,1.57311,2142,16.8383
everyone,4279,4150,1.75024,2277,17.89954
check,4268,4019,1.69499,1713,13.46592
doctor,4232,3911,1.64945,2020,15.87925
data,4230,3756,1.58407,1899,14.92807
state,4207,3880,1.63637,1829,14.3778
got,4199,3986,1.68108,2209,17.36499
due,4183,4090,1.72494,2309,18.15109
safe,4177,3970,1.67433,2160,16.9798
getting,4047,3891,1.64101,2222,17.46718
must,3999,3651,1.53979,2077,16.32733
toronto,3945,3785,1.59631,1597,12.55404
premier,3932,3649,1.53895,1605,12.61693
come,3931,3849,1.6233,2252,17.70301
may,3878,3696,1.55877,2030,15.95786
call,3865,3730,1.57311,2144,16.85402
support,3850,3635,1.53304,2102,16.52386
icu,3844,3465,1.46135,1660,13.04929
bc,3829,3456,1.45755,1325,10.41585
resident,3793,3134,1.32175,1431,11.24912
yet,3742,3712,1.56552,2008,15.78492
ableg,3736,3733,1.57437,751,5.90362
republican,3562,3329,1.40399,1186,9.32317
3,3555,3439,1.45038,1948,15.31326
phillips,3553,3240,1.36645,1410,11.08403
made,3544,3488,1.47105,2091,16.43739
school,3513,2817,1.18806,1323,10.40013
vacation,3481,3402,1.43478,1693,13.3087
alberta,3473,3213,1.35507,1094,8.59995
look,3460,3364,1.41875,1982,15.58054
moderna,3421,3093,1.30446,1599,12.56977
federal,3403,3195,1.34748,1671,13.13576
doug,3398,3221,1.35844,1203,9.4568
record,3395,3156,1.33103,1702,13.37945
4,3387,3246,1.36898,1924,15.1246
working,3382,3264,1.37658,1863,14.64508
money,3370,3066,1.29307,1716,13.48951
show,3358,3292,1.38839,1962,15.42332
testing,3354,3028,1.27704,1656,13.01784
social,3338,3252,1.37152,1948,15.31326
hour,3334,3264,1.37658,1964,15.43904
response,3314,3214,1.35549,1795,14.11053
