Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,24628,10.38674,6486,50.98656
2,17360,7.3215,3894,30.6108
3,16448,6.93686,4482,35.23308
4,20771,8.76007,3243,25.49328
5,14648,6.17772,3627,28.51191
6,14423,6.08283,4300,33.80237
7,20929,8.8267,5290,41.58478
8,15919,6.71376,4364,34.30548
9,14531,6.12838,4842,38.06305
10,11525,4.86061,3117,24.50279
11,9715,4.09725,3864,30.37497
12,17207,7.25697,4527,35.58682
13,13306,5.61174,4759,37.41058
14,13889,5.85762,4083,32.09653
15,11811,4.98123,3152,24.77793
