User ID	Screen Name	Number of Tweets	Number of Topics	Topics Discussed
208056970	PairsonnalitesU	262	9	1, 2, 3, 4, 6, 7, 8, 9, 10
222987791	deBeauxOs1	261	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2245822809	mini_bubbly	261	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
232519990	nspector4	255	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
27049579	pmagn	254	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
281312957	giraffami	252	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
212878119	Melhathnofury	251	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1058808528	TracyBaxter11	250	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2453484217	PaulSweeneyYYZ	249	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1227022725824294917	RikiMme	249	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
413514250	ghostcatbce	248	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1138253706804310018	FTU07131986	248	7	1, 2, 4, 5, 6, 7, 8
1016486686958739457	BeHappyandCivil	246	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1122898483181236226	MarkParalovos	245	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
29905232	johnndavis	244	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
257097577	wavetossed	242	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
133459481	hburkitt	240	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1036816881347219457	NorthBelle4	237	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
271590345	KenRoberts112	236	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
190203516	passenthrough	235	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
40654708	Joyuslyfly	235	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1111290178616942593	signsaresaying	234	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
244650352	Chuckw12	233	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1006186075390439424	CanuckTraveler	232	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
68021572	Tigerlily874	232	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
985938313784807425	mbohl07	232	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
841247046845779969	Gnosens	231	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2925571294	emgfind	231	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
768976342369071105	MoriartyLab	231	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
103031465	theslimdude	231	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
809552357763661824	JRTG13	231	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
282584884	RobACooper	231	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
4395821867	eflorian10	231	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1108357496471576576	onlyafewcows	229	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1269990092	mcfslaw	228	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2699710783	daveunger3	227	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
146704790	schmoopgirl	227	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2970069216	2020willbelit	227	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
434534377	tonkotsuchashu	224	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
976078973418446848	Venilia13	223	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
14837621	timethief	223	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
23903376	thomasmarinojr	221	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3146336130	JudithNewing	221	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2653909938	bonillal1	220	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1080999330461343744	JessieSutherl11	219	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
534929951	kelownascott	219	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
352016398	DavidLepofsky	217	7	1, 2, 3, 5, 6, 8, 9
43545377	anniegirl1138	215	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
71080496	NEWS1130	214	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1389764790	eileenishere	214	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
22336063	ladykitchenless	212	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
753278309597847552	surveyorX	212	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2821395707	DoyenneSolace	211	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
294344306	patstagepage	211	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2223448596	kathymahar	211	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
134461826	KasanConsulting	210	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
549711933	747_s	210	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1693965810	WilliamJamesLe1	207	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
22237383	wordsleadmeon	207	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1005474360168075265	Claired39497720	205	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3484951036	meadllar	204	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3230917482	HamiltonJamesE	204	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1692796112	PitRko	203	9	1, 2, 3, 4, 6, 7, 8, 9, 10
76822527	tvmoviedan	202	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2900026083	stompo2000	202	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
22424882	mighty580AM	202	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1246065743294332928	Milhouse_Van_Ho	201	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1548449911	mountkidd	199	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
966495168	gkrad9	199	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
14261329	Scooterissima	199	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
19478009	rgyatso	197	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
229104898	rosemarytoronto	196	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1160964450	kimber_1959	195	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
23129882	NJ_Lindquist	195	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
335483493	LizBraunSun	195	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
975128014517362689	Cabarfeidh59	195	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2735613917	ShennanKelly	192	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
