Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
yet,3431,3360,1.46485,1872,15.00361
age,3429,3201,1.39553,1779,14.25824
without,3428,3340,1.45613,1953,15.6528
update,3427,3282,1.43084,1614,12.9358
better,3423,3326,1.45003,1925,15.42839
infection,3408,3195,1.39292,1668,13.3686
enough,3398,3008,1.31139,1767,14.16206
paid,3381,3117,1.35891,1497,11.99808
positive,3377,3173,1.38332,1721,13.79338
per,3358,3029,1.32054,1722,13.80139
wear,3354,3219,1.40338,1864,14.93949
record,3296,3061,1.3345,1598,12.80757
protect,3290,3087,1.34583,1800,14.42654
total,3280,2898,1.26343,1500,12.02212
close,3222,3063,1.33537,1803,14.45059
cdc,3203,2817,1.22812,1537,12.31867
continue,3194,3085,1.34496,1870,14.98758
shot,3181,2874,1.25297,1731,13.87353
across,3164,3139,1.3685,1809,14.49868
city,3124,2889,1.25951,1595,12.78352
live,3122,2992,1.30441,1736,13.9136
reported,3117,2904,1.26605,1478,11.8458
emergency,3113,2966,1.29308,1792,14.36243
tell,3095,2980,1.29918,1775,14.22618
control,3050,2931,1.27782,1637,13.12014
science,3032,2895,1.26213,1598,12.80757
old,3017,2783,1.2133,1735,13.90559
story,3011,2904,1.26605,1703,13.64911
travel,3000,2586,1.12741,1592,12.75948
book,2948,2479,1.08076,1391,11.14851
least,2944,2903,1.26561,1823,14.61088
full,2914,2813,1.22638,1759,14.09794
read,2904,2847,1.2412,1719,13.77735
cant,2888,2799,1.22027,1670,13.38463
medium,2886,2744,1.19629,1531,12.27058
march,2886,2621,1.14267,1524,12.21447
place,2878,2765,1.20545,1759,14.09794
died,2867,2697,1.1758,1543,12.36675
mean,2858,2758,1.2024,1675,13.4247
staff,2855,2707,1.18016,1532,12.27859
change,2848,2587,1.12785,1683,13.48882
easter,2842,2605,1.13569,1524,12.21447
kenney,2841,2638,1.15008,848,6.79651
ago,2830,2690,1.17275,1631,13.07205
ottawa,2829,2579,1.12436,1045,8.37541
appointment,2828,2503,1.09123,1304,10.45123
far,2813,2700,1.17711,1598,12.80757
medical,2810,2712,1.18234,1545,12.38278
social,2809,2761,1.20371,1802,14.44257
weekend,2807,2644,1.1527,1619,12.97588
expert,2770,2675,1.16621,1494,11.97403
policy,2767,2463,1.07379,1462,11.71756
anyone,2759,2708,1.1806,1691,13.55294
et,2753,2101,0.91597,645,5.16951
highest,2752,2637,1.14965,1481,11.86984
minister,2740,2629,1.14616,1438,11.52521
coming,2736,2700,1.17711,1707,13.68117
told,2730,2670,1.16403,1611,12.91176
around,2730,2641,1.15139,1677,13.44073
region,2725,2517,1.09733,1278,10.24285
start,2724,2657,1.15837,1676,13.43272
student,2719,2466,1.0751,1313,10.52336
teacher,2714,2363,1.03019,1298,10.40314
great,2707,2600,1.13351,1695,13.585
testing,2691,2494,1.0873,1504,12.05418
big,2679,2604,1.13526,1669,13.37661
yesterday,2668,2628,1.14572,1527,12.23852
5,2667,2533,1.10431,1574,12.61521
nothing,2661,2349,1.02409,1462,11.71756
done,2650,2556,1.11433,1567,12.55911
point,2633,2577,1.12349,1580,12.6633
10,2619,2520,1.09864,1645,13.18426
made,2583,2521,1.09907,1656,13.27242
official,2580,2548,1.11084,1439,11.53322
important,2555,2521,1.09907,1601,12.83161
active,2543,2192,0.95564,1100,8.81622
2021,2539,2456,1.07074,1499,12.01411
put,2536,2491,1.08599,1615,12.94382
young,2525,2267,0.98834,1374,11.01226
ever,2507,2405,1.0485,1571,12.59117
covid19ab,2504,2488,1.08469,672,5.38591
system,2493,2333,1.01711,1511,12.11028
real,2490,2389,1.04153,1500,12.02212
reporting,2482,2417,1.05373,1181,9.46542
