Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,38983,12.36798,8028,57.14286
2,23258,7.37897,4417,31.43996
3,19639,6.23079,6163,43.86789
4,19689,6.24665,4745,33.77465
5,15073,4.78215,4573,32.55036
6,20907,6.63308,3662,26.06591
7,20302,6.44113,4120,29.32593
8,20684,6.56233,4908,34.93487
9,18038,5.72284,4917,34.99893
10,17719,5.62163,4699,33.44722
11,19035,6.03916,4325,30.78511
12,25546,8.10488,6247,44.4658
13,21686,6.88023,6632,47.20621
14,19487,6.18256,4623,32.90626
15,15147,4.80563,3109,22.12969
