Topic Number,Compound (Mean),Compound (Std Dev),Positive (Mean),Positive (Std Dev),Negative (Mean),Negative (Std Dev),Neutral (Mean),Neutral (Std Dev)
1,0.01634,0.44687,0.08139,0.10497,0.07644,0.10461,0.84216,0.14084
2,0.00779,0.3435,0.04376,0.07045,0.04094,0.07598,0.91529,0.10073
3,0.05722,0.45536,0.09983,0.12497,0.07644,0.11047,0.82372,0.15048
4,0.02457,0.37858,0.05938,0.086,0.05339,0.08663,0.88723,0.11454
5,-0.01407,0.4379,0.07775,0.10411,0.07834,0.10182,0.84391,0.13819
6,-0.03086,0.42989,0.07293,0.09313,0.08183,0.10171,0.84525,0.12956
7,-0.04154,0.41599,0.06251,0.09331,0.07568,0.09951,0.86182,0.12812
8,0.00085,0.3958,0.0633,0.08625,0.0643,0.08748,0.8724,0.11345
9,-0.12698,0.46138,0.068,0.09063,0.11043,0.11901,0.82158,0.13601
10,-0.01704,0.42044,0.06923,0.09005,0.07438,0.10205,0.85639,0.12588
11,0.00343,0.41483,0.07018,0.09171,0.06716,0.09182,0.86265,0.11899
12,0.06636,0.42039,0.07922,0.09898,0.05679,0.08597,0.86398,0.11838
13,0.11788,0.50018,0.12221,0.13984,0.0743,0.09927,0.80347,0.14867
14,-0.15574,0.464,0.06586,0.09568,0.11959,0.12807,0.81455,0.14526
15,-0.00921,0.27935,0.03001,0.07562,0.0293,0.06874,0.94069,0.10433
