Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,21594,10.63912,5921,48.19699
2,13762,6.78038,3484,28.35979
3,16180,7.9717,3632,29.56451
4,13092,6.45028,4224,34.38339
5,18152,8.94328,4691,38.18478
6,10125,4.98847,3803,30.95645
7,12726,6.26995,4343,35.35206
8,11902,5.86398,3455,28.12373
9,14723,7.25385,4321,35.17298
10,11665,5.74721,3651,29.71917
11,10717,5.28014,3929,31.98209
12,13906,6.85133,5309,43.2153
13,9128,4.49726,3220,26.21083
14,13827,6.8124,3915,31.86813
15,11469,5.65064,3822,31.11111
