Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,pandemic,28011,27020,13.31244,6394,52.04721
1,way,4390,4211,2.07471,2371,19.29996
1,people,24716,21985,10.83176,5616,45.71429
1,vaccine,34780,28752,14.16578,6287,51.17623
1,thing,4155,3957,1.94957,2258,18.38014
1,risk,5199,4615,2.27376,2427,19.7558
1,getting,4378,4123,2.03135,2391,19.46276
1,make,5677,5496,2.70782,2806,22.84086
1,need,11519,10593,5.21905,3997,32.53561
1,mean,2424,2339,1.1524,1576,12.82865
1,help,7141,6526,3.21529,3060,24.90842
1,long,2425,2347,1.15634,1526,12.42165
1,going,5011,4714,2.32253,2474,20.13838
1,sure,1734,1705,0.84003,1214,9.88197
1,hard,1796,1740,0.85728,1243,10.11803
2,case,21993,17389,8.56736,4247,34.57061
2,new,18031,15778,7.77364,4435,36.10094
2,number,5237,4929,2.42846,2350,19.12902
2,death,9701,8573,4.22382,2943,23.95604
2,ontario,25556,23505,11.58064,4705,38.29874
2,report,3585,3419,1.6845,1677,13.65079
2,rate,3750,3505,1.72687,1944,15.82418
2,record,2669,2470,1.21694,1463,11.90883
2,alberta,5120,4663,2.29741,1362,11.08669
2,today,11134,10487,5.16682,3864,31.45299
2,province,7960,7568,3.72867,2911,23.69556
2,high,3012,2801,1.38002,1634,13.30077
2,daily,2524,2345,1.15535,1392,11.33089
2,total,2534,2284,1.1253,1281,10.42735
2,reporting,2043,1975,0.97306,1071,8.71795
3,ford,12413,11219,5.52747,2817,22.9304
3,onpoli,12302,12273,6.04677,2587,21.0582
3,ontario,25556,23505,11.58064,4705,38.29874
3,doug,6619,6275,3.09162,2029,16.51608
3,premier,6664,6234,3.07142,2310,18.80342
3,government,12601,11683,5.75608,3748,30.50875
3,fordnation,7162,7026,3.46163,2131,17.34636
3,pandemic,28011,27020,13.31244,6394,52.04721
3,science,4484,4219,2.07865,2053,16.71144
3,paidsickdays,2457,2413,1.18886,1079,8.78307
3,ontarians,2091,2034,1.00213,1113,9.05983
3,resign,1304,1197,0.58975,731,5.95035
3,time,9416,8935,4.40217,3874,31.53439
3,need,11519,10593,5.21905,3997,32.53561
3,playground,1831,1667,0.82131,1028,8.36793
4,vaccine,34780,28752,14.16578,6287,51.17623
4,astrazeneca,3888,3715,1.83034,1946,15.84046
4,ontario,25556,23505,11.58064,4705,38.29874
4,vaccination,7337,7042,3.46951,2989,24.33048
4,supply,2673,2383,1.17408,1414,11.50997
