Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,34475,9.15172,8594,51.58773
2,28763,7.63542,7629,45.79507
3,40272,10.69059,7955,47.75197
4,27663,7.34341,4392,26.36413
5,21781,5.78198,5334,32.01873
6,24896,6.60888,6110,36.67687
7,19297,5.12258,5278,31.68257
8,19565,5.19372,5490,32.95516
9,20067,5.32698,5675,34.06567
10,23444,6.22344,5529,33.18927
11,18121,4.8104,5097,30.59607
12,31576,8.38216,8978,53.89279
13,25237,6.69941,6167,37.01903
14,19682,5.22478,5282,31.70659
15,21866,5.80454,5449,32.70905
