Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,going,11888,11185,4511
1,good,8423,8090,4042
1,really,6074,5708,3077
1,right,11492,10675,4329
1,make,11161,10760,4524
1,come,6445,6322,3421
1,know,13051,12240,4763
1,thing,7881,7628,3728
1,people,39398,34986,7766
1,thats,4385,4159,2525
1,pandemic,56968,55511,9414
1,story,4375,4197,2619
1,way,9263,8832,4150
1,question,3557,3357,2146
1,better,4984,4733,2875
2,mask,52519,42664,8444
2,wear,27347,24117,6734
2,face,7373,6851,3459
2,wearing,7565,6916,3517
2,protect,4774,4532,2665
2,wearamask,2578,2548,1510
2,mandatory,3047,2912,1840
2,hand,4102,3879,2522
2,stop,6866,6430,3250
2,public,15119,14201,5153
2,people,39398,34986,7766
2,man,4645,4150,2468
2,damn,1824,1738,1302
2,refuse,2169,2075,1456
2,store,2234,2127,1562
3,pandemic,56968,55511,9414
3,crisis,6118,5871,2808
3,government,11863,11214,4527
3,economy,5784,5479,2881
3,job,6503,5973,3106
3,money,4726,4363,2498
3,fight,4388,4018,2301
3,middle,3451,3352,1876
3,pay,4193,3929,2403
3,support,6522,6133,3151
3,economic,4130,3937,2388
3,billion,3901,3383,2094
3,help,9508,8772,4026
3,global,4749,4555,2572
3,tax,3009,2717,1732
4,trump,47058,40672,4776
4,american,15773,14188,3615
4,testing,8922,7968,3187
4,administration,4917,4798,1982
4,want,14717,13196,4689
4,donald,4415,4373,1579
4,president,13619,12434,3344
4,kill,3588,2997,1610
4,vote,3508,3205,1730
4,biden,3236,2844,1385
4,cdc,12924,11790,3320
4,rally,2830,2651,1357
4,realdonaldtrump,9014,8744,2511
4,tracing,2364,2306,1407
4,campaign,2760,2686,1601
5,school,21783,18456,4627
5,child,10613,9064,3554
5,kid,9503,8038,3281
5,risk,6462,6074,3147
5,open,5891,5425,3022
5,reopening,5243,5006,2530
5,reopen,4610,4365,2219
5,teacher,4543,4033,2008
5,student,5044,4469,2341
5,parent,3224,2826,1774
5,plan,7075,6333,3125
5,fall,2914,2832,1825
5,safe,6954,6627,3503
5,want,14717,13196,4689
5,prison,2264,2060,1287
6,positive,11085,10136,3832
6,test,10610,9029,3817
6,tested,8015,7210,3247
6,people,39398,34986,7766
6,died,8027,7653,3063
6,result,4849,4607,2638
6,thought,3188,3097,2093
6,sick,4870,4428,2552
6,dying,3131,3000,1761
6,symptom,3215,2903,1794
6,patient,7749,7121,3083
6,hoax,2484,2329,1483
6,testing,8922,7968,3187
6,texas,5558,5139,2064
6,infected,4054,3942,2202
7,death,25317,20757,5222
7,rate,7238,6419,3112
7,realdonaldtrump,9014,8744,2511
7,flu,3623,3133,1770
7,infection,5024,4793,2479
7,population,3105,2907,1888
7,zero,2494,2227,1564
7,march,2803,2755,1840
7,toll,2342,2234,1450
7,killed,2354,2221,1483
7,number,12491,11565,4356
7,people,39398,34986,7766
7,look,6847,6580,3483
7,case,45685,35303,6849
7,lower,1588,1499,1141
8,news,9852,9362,3842
8,vaccine,9729,8111,3531
8,hospital,10980,9992,3904
8,data,9691,8783,3279
8,cdc,12924,11790,3320
8,report,9183,8469,3602
8,patient,7749,7121,3083
8,breaking,8288,8256,3364
8,thread,2489,2456,1514
8,information,3145,3048,1859
8,study,4172,3885,2245
8,longer,2104,1981,1416
8,condition,2562,2373,1556
8,icu,2385,2210,1316
8,research,2919,2704,1682
9,dr,10690,9932,3545
9,fauci,9271,8152,2643
9,house,7706,7349,2811
9,white,6660,6450,2435
9,expert,5533,5304,2680
9,say,21522,20145,5778
9,read,4403,4297,2617
9,science,4966,4560,2439
9,said,9950,9236,3729
9,believe,3673,3427,2074
9,scientist,2986,2914,1875
9,listen,2394,2232,1502
9,trust,2370,2046,1417
9,truth,2750,2617,1644
9,fact,4121,3859,2242
10,canada,17221,15542,5306
10,canadian,11202,9928,3877
10,cdnpoli,9805,9765,2775
10,trudeau,6622,6032,2329
10,border,4529,4037,2424
10,le,7893,6387,2875
10,justintrudeau,3019,2946,1401
10,pm,3320,3099,1781
10,charity,2868,2235,1226
10,et,3327,2550,789
10,closed,3172,2982,2032
10,cbc,2098,1625,1030
10,travel,2435,2254,1586
10,flight,2590,2260,1548
10,minister,3953,3726,2080
11,day,21156,18299,5775
11,month,11595,11248,4408
11,country,14533,13315,4648
11,president,13619,12434,3344
11,america,7642,7276,2832
11,great,5254,4978,2989
11,life,11084,10327,4195
11,ago,3688,3517,2164
11,single,2925,2771,1715
11,year,10240,9323,4346
11,say,21522,20145,5778
11,worst,2669,2587,1670
11,pandemic,56968,55511,9414
11,took,2736,2432,1676
11,tweet,2111,1984,1390
12,home,12867,11833,4930
12,stay,7503,7034,3840
12,social,8400,8158,4004
12,distancing,6734,6571,3610
12,need,18169,16811,5759
12,work,10859,10005,4661
12,help,9508,8772,4026
12,thank,3352,3251,2138
12,lockdown,7430,7035,3401
12,important,3476,3419,2300
12,family,8105,7640,3668
12,safe,6954,6627,3503
12,time,20295,19250,6293
12,love,2378,2270,1689
12,community,5061,4806,2690
13,case,45685,35303,6849
13,new,34864,29843,6785
13,health,22498,20559,5982
13,july,6652,5986,3050
13,bc,4819,4501,1975
13,alberta,4439,4142,1590
13,day,21156,18299,5775
13,today,14592,13868,5054
13,reported,6214,5481,2644
13,number,12491,11565,4356
13,total,4936,4378,2289
13,ontario,7544,7024,2834
13,public,15119,14201,5153
13,confirmed,3113,3006,1750
13,care,10813,9648,4102
14,virus,19513,18184,5187
14,world,10690,9977,4256
14,china,7566,6448,2620
14,control,6827,6259,2966
14,chinese,2558,2360,1312
14,lie,4041,3754,2042
14,disney,1438,1336,957
14,fake,2009,1704,1142
14,country,14533,13315,4648
14,spreading,1565,1529,1108
14,book,1801,1476,1120
14,organization,1625,1598,1217
14,wuhan,1312,1246,804
14,los,1299,1075,427
14,suffering,1122,1110,908
15,state,17114,15671,4216
15,new,34864,29843,6785
15,florida,11243,10179,3254
15,record,6164,5677,2544
15,live,4851,4696,2695
15,say,21522,20145,5778
15,governor,4379,4126,1780
15,order,4377,4233,2382
15,city,5254,4849,2637
15,government,11863,11214,4527
15,federal,4927,4731,2443
15,york,2992,2859,1642
15,case,45685,35303,6849
15,gov,3322,3116,1733
15,amid,2701,2692,1518
