Topic Number,Compound (Mean),Compound (Std Dev),Positive (Mean),Positive (Std Dev),Negative (Mean),Negative (Std Dev),Neutral (Mean),Neutral (Std Dev)
1,-0.02068,0.2606,0.02268,0.05939,0.02981,0.07481,0.94751,0.09412
2,-0.07733,0.46415,0.07666,0.09604,0.09855,0.10482,0.82478,0.12891
3,-0.24356,0.3339,0.03048,0.06105,0.12111,0.09155,0.84841,0.09804
4,0.00632,0.31432,0.04405,0.07795,0.03938,0.07158,0.91657,0.10374
5,-0.12919,0.35907,0.04037,0.07029,0.08975,0.10521,0.86986,0.12711
6,-0.0285,0.32659,0.03663,0.0704,0.04768,0.08743,0.91568,0.10965
7,-0.3586,0.38335,0.02787,0.05472,0.14278,0.12239,0.82936,0.12222
8,-0.21052,0.44019,0.04686,0.07276,0.11003,0.11173,0.8431,0.11661
9,0.06438,0.3929,0.07215,0.0907,0.05423,0.08608,0.8736,0.11897
10,-0.28618,0.45984,0.06333,0.08739,0.1509,0.12643,0.78577,0.13342
11,-0.12542,0.3959,0.04386,0.07776,0.08607,0.10246,0.87007,0.11749
12,-0.07699,0.44941,0.06249,0.08729,0.08615,0.10984,0.85135,0.12949
13,-0.14116,0.42548,0.05372,0.08096,0.10244,0.12161,0.84387,0.1356
14,0.0639,0.43135,0.08596,0.09395,0.0629,0.09208,0.8511,0.11151
15,0.02396,0.41826,0.07585,0.09198,0.06763,0.08662,0.85652,0.10984
16,0.08175,0.41728,0.06831,0.08482,0.04609,0.08442,0.88561,0.10363
17,-0.08553,0.32788,0.03594,0.06759,0.0643,0.08798,0.89974,0.11016
18,-0.12084,0.34119,0.03814,0.07848,0.07721,0.09785,0.88467,0.11998
19,0.15515,0.3766,0.09627,0.09976,0.03876,0.06945,0.86497,0.11261
20,-0.05534,0.35784,0.04157,0.07709,0.06179,0.10631,0.89667,0.12337
21,-0.17394,0.45384,0.05709,0.08444,0.11911,0.1215,0.82379,0.12845
22,-0.0383,0.36403,0.04494,0.07128,0.05634,0.08552,0.89871,0.10465
23,-0.08691,0.40785,0.05178,0.07502,0.08438,0.1159,0.86383,0.12884
24,-0.0906,0.35763,0.04389,0.07301,0.07286,0.08949,0.88325,0.10657
25,-0.15566,0.35923,0.03608,0.06409,0.08907,0.09563,0.87486,0.10857
26,-0.04061,0.33195,0.03944,0.06694,0.05471,0.08604,0.90585,0.10323
27,-0.13793,0.41374,0.05364,0.0904,0.0982,0.11851,0.84816,0.13998
28,-0.08605,0.48717,0.08621,0.09838,0.11351,0.1227,0.80025,0.14365
29,0.02987,0.41337,0.07623,0.08979,0.06722,0.08782,0.85656,0.11532
30,-0.16608,0.38242,0.04225,0.07091,0.09357,0.09583,0.86418,0.11316
