Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,7285,5.7985,2546,25.97164
2,5232,4.16441,2171,22.14628
3,4379,3.48547,2066,21.07518
4,4463,3.55233,1941,19.80006
5,5082,4.04502,1988,20.27951
6,5439,4.32917,2144,21.87086
7,4871,3.87707,1741,17.75987
8,4007,3.18937,2103,21.45262
9,4394,3.49741,2060,21.01398
10,3188,2.53749,1840,18.76976
11,4741,3.7736,2186,22.2993
12,4954,3.94314,2382,24.29868
13,3920,3.12012,1917,19.55524
14,2729,2.17215,1731,17.65786
15,3262,2.59639,1714,17.48444
16,3731,2.96969,1887,19.24921
17,3442,2.73966,1744,17.79047
18,3291,2.61947,1830,18.66775
19,3916,3.11694,1844,18.81057
20,3198,2.54545,1680,17.13761
21,3644,2.90044,1927,19.65725
22,4577,3.64306,1802,18.38213
23,3726,2.96571,1924,19.62664
24,3560,2.83358,1664,16.9744
25,4924,3.91926,1845,18.82077
26,3141,2.50008,1494,15.24023
27,3404,2.70941,1992,20.32031
28,4313,3.43293,2305,23.51321
29,5233,4.16521,2237,22.81955
30,3590,2.85746,1757,17.92308
