Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,pandemic,56812,54521,16.36918,8414,62.42766
1,change,3476,3368,1.0112,1983,14.71287
1,making,2954,2875,0.86318,1784,13.23639
1,issue,3032,2909,0.87339,1813,13.45155
1,believe,2536,2407,0.72267,1506,11.17376
1,important,3448,3327,0.99889,1990,14.7648
1,look,5436,5314,1.59546,2704,20.06232
1,soon,2489,2468,0.74098,1621,12.02701
1,best,3317,3262,0.97937,1938,14.37899
1,normal,1786,1693,0.5083,1149,8.525
1,point,2586,2520,0.7566,1548,11.48538
1,world,7743,7427,2.22985,3169,23.51239
1,response,5404,5223,1.56813,2424,17.98486
1,used,2161,2096,0.6293,1369,10.15729
1,course,1559,1544,0.46356,1104,8.19113
2,case,31841,22990,6.90243,4270,31.68126
2,new,27145,23650,7.10059,5014,37.20137
2,number,7820,7265,2.18122,2762,20.49265
2,report,7200,6910,2.07463,2554,18.9494
2,death,19889,17390,5.22111,3943,29.25508
2,reported,3956,3715,1.11538,1609,11.93797
2,reporting,3283,3207,0.96286,1215,9.01469
2,ontario,21498,19736,5.92546,3386,25.12242
2,variant,10552,9316,2.797,2642,19.60231
2,total,5016,4395,1.31954,1776,13.17703
2,active,3319,2817,0.84577,936,6.94465
2,daily,2757,2659,0.79833,1429,10.60246
2,today,18554,17353,5.21,4997,37.07523
2,bc,6047,5487,1.6474,1492,11.06989
2,confirmed,2280,2169,0.65121,1082,8.0279
3,relief,17103,16053,4.81969,2409,17.87357
3,republican,11113,9208,2.76458,1594,11.82668
3,voted,7405,5917,1.7765,1659,12.30895
3,vote,4452,4045,1.21446,1597,11.84894
3,gop,3861,3609,1.08355,1100,8.16145
3,american,11281,10091,3.02968,2173,16.12257
3,senate,4936,4512,1.35467,1198,8.88856
3,check,4062,3896,1.16972,1926,14.28995
3,money,4405,3965,1.19044,1970,14.61641
3,democrat,4061,3705,1.11238,1209,8.97017
3,tax,3050,2663,0.79953,1401,10.39472
3,trillion,3115,2734,0.82085,1138,8.44339
3,house,4009,3659,1.09856,1568,11.63377
3,pas,2011,1981,0.59477,1023,7.59015
3,trump,8506,7255,2.17821,1954,14.4977
4,vaccine,62325,51880,15.57626,7097,52.65618
4,dos,10704,8618,2.58744,2768,20.53717
4,shot,4964,4580,1.37508,2280,16.91646
4,dose,4914,4300,1.29102,1981,14.69803
4,pfizer,3986,3402,1.0214,1739,12.90251
4,received,3425,3210,0.96376,1831,13.5851
4,astrazeneca,4906,4763,1.43003,1963,14.56448
4,receive,3009,2934,0.88089,1653,12.26443
4,second,4131,3976,1.19374,2068,15.34352
4,rollout,3162,3093,0.92863,1611,11.95281
4,administered,2802,2652,0.79623,1220,9.05179
4,effective,2510,2376,0.71336,1465,10.86957
4,2nd,1922,1843,0.55334,1099,8.15403
4,getting,6378,6089,1.82814,2917,21.64268
4,month,9405,8987,2.69822,3429,25.44146
5,mask,16975,14517,4.35853,4065,30.16026
5,vaccinated,7891,7143,2.14459,2915,21.62784
5,wear,6320,5796,1.74017,2623,19.46134
5,cdc,4350,4003,1.20185,1701,12.62057
5,texas,4510,4018,1.20635,1624,12.04927
5,social,3899,3725,1.11838,2101,15.58837
5,restriction,5088,4954,1.48737,2314,17.16872
5,mandate,2765,2608,0.78302,1337,9.91987
5,spread,5411,5266,1.58104,2443,18.12583
5,face,2841,2718,0.81604,1723,12.7838
5,fully,2577,2443,0.73348,1491,11.06247
5,wearing,2212,2084,0.62569,1385,10.27601
5,fear,2477,2315,0.69505,1324,9.82342
5,hand,2154,2095,0.629,1359,10.0831
5,distancing,1873,1832,0.55003,1245,9.23728
6,canada,26131,23086,6.93125,4978,36.93426
6,country,9974,9477,2.84534,3264,24.21724
6,johnson,4798,2953,0.8866,1545,11.46313
6,travel,2441,2225,0.66803,1397,10.36504
6,emergency,2694,2270,0.68154,1388,10.29826
6,power,2124,1963,0.58936,1238,9.18534
6,cdnpoli,13509,13477,4.04628,2471,18.33358
6,health,25899,23574,7.07777,5292,39.26399
6,quarantine,1531,1464,0.43955,906,6.72207
6,ctvnews,1128,1107,0.33236,622,4.61493
6,approved,1993,1867,0.56054,1216,9.02211
6,air,1285,1103,0.33116,794,5.89108
6,world,7743,7427,2.22985,3169,23.51239
6,subsidy,1207,743,0.22308,521,3.86556
6,globeandmail,1197,1188,0.35668,706,5.23817
7,toronto,7673,7219,2.16741,2244,16.64935
7,fordnation,5287,5211,1.56453,1429,10.60246
7,wave,4880,4597,1.38019,1947,14.44576
7,lockdown,16765,14941,4.48583,3669,27.22214
7,doctor,4496,4120,1.23697,1932,14.33447
7,health,25899,23574,7.07777,5292,39.26399
7,ontario,21498,19736,5.92546,3386,25.12242
7,public,12255,11507,3.45482,3795,28.157
7,measure,3779,3701,1.11117,1964,14.57189
7,order,3470,3306,0.99258,1895,14.05995
7,medical,3941,3586,1.07665,1802,13.36994
7,hospital,6653,5928,1.7798,2532,18.78617
7,province,7770,7480,2.24577,2622,19.45392
7,onpoli,10294,10281,3.08673,2013,14.93545
7,follow,2514,2435,0.73108,1430,10.60988
8,week,12830,11532,3.46232,3977,29.50735
8,march,10592,9853,2.95823,3418,25.35985
8,million,10896,9011,2.70543,3217,23.86853
8,month,9405,8987,2.69822,3429,25.44146
8,2021,4023,3887,1.16702,1997,14.81674
8,100,3762,3553,1.06674,1980,14.69061
8,2020,4820,4634,1.39129,2377,17.63615
8,year,24162,22255,6.68176,6131,45.48894
8,10,4785,4579,1.37478,2192,16.26354
8,population,3092,2954,0.8869,1728,12.82089
8,old,2490,2276,0.68334,1496,11.09957
8,died,5622,5075,1.5237,2220,16.47129
8,later,2251,2123,0.6374,1427,10.58762
8,12,3573,3502,1.05143,1961,14.54964
8,ahead,2013,1818,0.54583,1236,9.1705
9,year,24162,22255,6.68176,6131,45.48894
9,today,18554,17353,5.21,4997,37.07523
9,ago,5255,5157,1.54832,2628,19.49844
9,declared,2335,2315,0.69505,1437,10.66182
9,team,2731,2600,0.78061,1605,11.90829
9,join,2387,2338,0.70195,1415,10.49859
9,pandemic,56812,54521,16.36918,8414,62.42766
9,nurse,2089,1930,0.57946,1127,8.36177
9,community,7224,6586,1.97736,2874,21.32364
9,event,1940,1824,0.54763,1182,8.76985
9,covid19ab,1564,1564,0.46957,407,3.01974
9,changed,1333,1305,0.39181,971,7.20433
9,health,25899,23574,7.07777,5292,39.26399
9,tonight,1448,1427,0.42844,988,7.33046
9,organization,1190,1178,0.35368,853,6.32883
10,people,35102,31280,9.39139,6316,46.86155
10,health,25899,23574,7.07777,5292,39.26399
10,public,12255,11507,3.45482,3795,28.157
10,die,2717,2434,0.73078,1368,10.14987
10,outbreak,5959,5331,1.60056,2095,15.54385
10,official,4433,4345,1.30453,1965,14.57931
10,tested,2589,2452,0.73618,1373,10.18697
10,fighting,2412,2364,0.70976,847,6.28432
10,positive,4632,4304,1.29222,2031,15.069
10,mental,2007,1831,0.54973,1074,7.96854
10,condition,1706,1647,0.49449,1170,8.68081
10,symptom,1725,1540,0.46236,945,7.01143
10,huge,1430,1406,0.42213,1007,7.47143
10,seeing,1438,1414,0.42453,1041,7.7237
10,died,5622,5075,1.5237,2220,16.47129
11,biden,9450,8835,2.65259,2140,15.87773
11,plan,8477,8006,2.40369,2962,21.97655
11,president,6149,5718,1.71675,1777,13.18445
11,end,7312,6943,2.08454,2990,22.1843
11,american,11281,10091,3.02968,2173,16.12257
11,big,3757,3570,1.07184,1929,14.31221
11,america,2847,2739,0.82235,1286,9.54147
11,sign,2168,2099,0.6302,1408,10.44665
11,half,2364,2291,0.68784,1400,10.3873
11,joe,1960,1924,0.57765,964,7.1524
11,relief,17103,16053,4.81969,2409,17.87357
11,rescue,1784,1758,0.52782,636,4.7188
11,administration,1805,1705,0.5119,1016,7.53821
11,white,1806,1729,0.51911,1002,7.43434
11,law,1663,1581,0.47467,1035,7.67918
12,lockdown,16765,14941,4.48583,3669,27.22214
12,vaccine,62325,51880,15.57626,7097,52.65618
12,use,4624,4440,1.33305,2305,17.10194
12,florida,2470,2192,0.65812,1096,8.13177
12,wrong,2370,2283,0.68544,1386,10.28342
12,effect,2030,1953,0.58636,1257,9.32631
12,using,2598,2561,0.76891,1595,11.8341
12,blood,1949,1768,0.53082,1135,8.42113
12,cause,2077,1985,0.59597,1302,9.66019
12,flu,1751,1566,0.47017,963,7.14498
12,astrazeneca,4906,4763,1.43003,1963,14.56448
12,evidence,2410,2295,0.68904,1227,9.10372
12,country,9974,9477,2.84534,3264,24.21724
12,passport,1153,1076,0.32305,621,4.60751
