Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,21420,6.43106,5924,43.95311
2,17144,5.14725,3211,23.82401
3,19686,5.91045,3075,22.81496
4,13239,3.97483,3846,28.53539
5,15999,4.80348,4489,33.30613
6,11050,3.31761,3748,27.80828
7,14362,4.31199,3513,26.0647
8,8875,2.6646,3284,24.36563
9,12143,3.64577,4276,31.72578
10,12182,3.65748,3765,27.93441
11,12829,3.85173,2937,21.79107
12,16171,4.85512,3793,28.14216
13,8042,2.4145,2721,20.18846
14,10534,3.16269,3361,24.93693
15,10986,3.2984,4220,31.31028
16,13803,4.14416,3711,27.53376
17,10233,3.07232,3915,29.04734
18,13418,4.02857,3728,27.65989
19,16956,5.09081,3418,25.35985
20,15288,4.59001,4695,34.83455
21,14543,4.36634,4735,35.13133
22,11705,3.51427,4335,32.16353
23,10090,3.02938,1566,11.61893
24,10188,3.05881,3846,28.53539
25,12185,3.65838,3702,27.46698
