Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
pandemic,24302,23602,15.54737,7322,51.33202
people,18119,15721,10.35591,5875,41.18761
case,13871,10312,6.79284,3889,27.26444
new,13313,11473,7.55762,4576,32.08076
de,11154,4911,3.23503,1025,7.18592
trump,10708,9410,6.19866,3049,21.37549
protest,9830,8955,5.89894,3774,26.45822
death,9786,8233,5.42333,3510,24.6074
health,9755,8894,5.85875,4073,28.5544
say,9102,8458,5.57155,4007,28.0917
one,9076,8381,5.52083,4307,30.1949
social,8608,8326,5.4846,3837,26.89989
day,8452,7540,4.96683,3890,27.27145
lockdown,7764,7320,4.82191,3119,21.86624
distancing,7547,7408,4.87988,3553,24.90886
home,7454,6850,4.51231,3669,25.7221
get,7449,6981,4.5986,3801,26.6475
time,7200,6799,4.47871,3819,26.7737
canada,6817,6282,4.13815,3086,21.63489
u,6732,6020,3.96556,3468,24.31296
mask,6713,5851,3.85424,3288,23.05104
need,6553,6193,4.07952,3577,25.07712
today,6156,5889,3.87927,3266,22.8968
week,5852,5374,3.54002,3147,22.06254
canadian,5689,5302,3.49259,2523,17.68789
country,5582,5309,3.4972,2987,20.94083
virus,5415,5080,3.34635,2833,19.86119
work,5396,5022,3.30815,3023,21.19321
government,5285,4850,3.19485,2777,19.46859
still,5250,5017,3.30485,3161,22.16068
go,5234,4881,3.21527,2979,20.88474
life,5230,4953,3.2627,2989,20.95485
trudeau,5226,4792,3.15664,1823,12.78043
public,5157,4816,3.17245,2837,19.88923
right,5147,4813,3.17047,2908,20.38699
care,5040,4560,3.00381,2731,19.1461
US,5013,4502,2.96561,2338,16.39091
many,4996,4554,2.99986,2872,20.1346
ontario,4986,4610,3.03675,2093,14.6733
state,4971,4508,2.96956,2403,16.84661
month,4860,4755,3.13227,2863,20.07151
back,4828,4505,2.96758,2809,19.69293
american,4747,4371,2.87931,2098,14.70836
world,4694,4468,2.94321,2766,19.39148
know,4430,4251,2.80027,2825,19.8051
cdnpoli,4363,4361,2.87273,1824,12.78744
number,4302,3946,2.59935,2344,16.43298
news,4300,4158,2.739,2501,17.53365
stay,4298,3986,2.6257,2585,18.12255
would,4266,4010,2.64151,2580,18.08749
2,4243,3940,2.5954,2602,18.24173
police,4177,3751,2.4709,2272,15.92821
help,4177,3862,2.54402,2456,17.21817
spread,4154,3898,2.56773,2438,17.09198
million,4138,3813,2.51174,2296,16.09647
worker,4125,3675,2.42084,2143,15.02384
going,4109,3918,2.58091,2543,17.8281
make,4100,3989,2.62768,2612,18.31183
see,4001,3840,2.52953,2563,17.96831
take,3919,3813,2.51174,2588,18.14358
may,3863,3653,2.40634,2366,16.58721
could,3850,3697,2.43533,2473,17.33735
le,3814,2981,1.96368,1564,10.96467
business,3766,3356,2.2107,2114,14.82053
want,3742,3502,2.30688,2390,16.75547
economy,3723,3550,2.3385,2237,15.68284
report,3696,3447,2.27065,2160,15.14302
even,3677,3546,2.33586,2379,16.67835
via,3594,3578,2.35694,2004,14.04936
support,3590,3403,2.24166,2251,15.78099
way,3518,3356,2.2107,2378,16.67134
president,3500,3400,2.23969,1836,12.87156
year,3472,3286,2.16459,2238,15.68985
crisis,3468,3127,2.05985,2026,14.20359
family,3397,3192,2.10267,2189,15.34633
last,3321,3200,2.10794,2113,14.81352
city,3320,3044,2.00518,1920,13.46046
black,3302,2789,1.8372,1894,13.27818
china,3300,2791,1.83852,1572,11.02075
due,3282,3225,2.12441,2270,15.91419
also,3248,3202,2.10926,2158,15.129
said,3242,3110,2.04865,2037,14.28071
1,3226,2997,1.97422,2063,14.46298
job,3207,2985,1.96631,2052,14.38587
good,3182,3070,2.0223,2216,15.53561
please,3120,2804,1.84708,1985,13.91615
since,3109,3005,1.97949,2035,14.26669
think,3107,2989,1.96895,2113,14.81352
realdonaldtrump,3088,3006,1.98015,1544,10.82445
died,3071,2883,1.89912,1895,13.28519
first,3059,2933,1.93206,2082,14.59619
every,3024,2701,1.77923,1961,13.7479
breaking,3017,2996,1.97356,1839,12.8926
test,2967,2592,1.70743,1730,12.12844
show,2966,2913,1.91888,2045,14.33679
much,2935,2827,1.86223,2054,14.39989
without,2926,2793,1.83984,2039,14.29473
dr,2912,2688,1.77067,1802,12.6332
update,2909,2765,1.82139,1461,10.24257
thing,2888,2768,1.82337,1970,13.81099
thousand,2879,2762,1.81942,1755,12.3037
response,2831,2751,1.81217,1819,12.75238
community,2822,2652,1.74696,1849,12.9627
3,2777,2599,1.71204,1878,13.16601
june,2746,2593,1.70809,1690,11.84801
two,2728,2616,1.72324,1901,13.32726
great,2700,2636,1.73642,1992,13.96523
riot,2696,2641,1.73971,1553,10.88755
keep,2677,2566,1.6903,1877,13.159
positive,2665,2530,1.66659,1657,11.61666
racism,2628,2316,1.52562,1690,11.84801
another,2606,2541,1.67384,1820,12.75939
must,2599,2501,1.64749,1807,12.66826
risk,2580,2406,1.58491,1711,11.99523
total,2574,2291,1.50915,1475,10.34072
hospital,2555,2334,1.53748,1563,10.95766
america,2542,2441,1.60796,1592,11.16096
well,2539,2468,1.62575,1863,13.06085
onpoli,2539,2538,1.67186,1215,8.51795
data,2538,2270,1.49532,1493,10.46691
open,2535,2396,1.57832,1803,12.64021
medium,2535,2358,1.55329,1653,11.58861
minister,2525,2415,1.59084,1531,10.73331
global,2485,2349,1.54736,1640,11.49748
never,2474,2361,1.55526,1724,12.08637
safe,2438,2324,1.53089,1755,12.3037
patient,2399,2168,1.42813,1470,10.30566
order,2373,2273,1.4973,1625,11.39232
outbreak,2332,2212,1.45711,1447,10.14442
testing,2329,2078,1.36884,1429,10.01823
look,2326,2276,1.49927,1692,11.86203
province,2322,2240,1.47556,1458,10.22154
made,2315,2267,1.49334,1709,11.98121
come,2289,2210,1.4558,1750,12.26865
white,2273,2121,1.39717,1465,10.27061
pm,2240,2109,1.38926,1386,9.71677
everyone,2240,2186,1.43999,1685,11.81296
rule,2230,2056,1.35435,1366,9.57656
plan,2226,2098,1.38202,1528,10.71228
ford,2206,2012,1.32537,1085,7.60656
stop,2200,2090,1.37675,1595,11.182
long,2196,2086,1.37411,1595,11.182
toronto,2185,2035,1.34052,1206,8.45485
bc,2171,2009,1.32339,1133,7.94307
across,2130,2041,1.34447,1429,10.01823
official,2115,2089,1.37609,1469,10.29865
justintrudeau,2114,2076,1.36753,1093,7.66265
tested,2084,1822,1.20021,1346,9.43634
et,2076,1653,1.08888,644,4.51486
live,2062,1992,1.31219,1336,9.36624
yet,2061,2039,1.34315,1567,10.9857
2020,2060,1946,1.28189,1378,9.66068
read,2053,2012,1.32537,1508,10.57207
study,2049,1863,1.22722,1247,8.74229
important,2049,2006,1.32141,1503,10.53702
house,2043,1955,1.28782,1396,9.78688
un,2027,1755,1.15607,846,5.93102
end,2017,1940,1.27794,1496,10.48794
around,2012,1981,1.30495,1495,10.48093
protester,1988,1872,1.23314,1357,9.51346
expert,1987,1910,1.25818,1406,9.85698
reopening,1982,1902,1.25291,1398,9.8009
ever,1980,1840,1.21207,1439,10.08833
liberal,1975,1840,1.21207,1066,7.47336
4,1969,1859,1.22458,1403,9.83595
next,1960,1927,1.26937,1505,10.55104
premier,1954,1792,1.18045,1128,7.90802
fordnation,1954,1914,1.26081,989,6.93354
economic,1949,1914,1.26081,1398,9.8009
vaccine,1944,1561,1.02828,1077,7.55048
give,1942,1827,1.2035,1402,9.82894
got,1936,1883,1.24039,1473,10.3267
getting,1927,1837,1.21009,1472,10.31969
infection,1923,1845,1.21536,1276,8.9456
woman,1916,1591,1.04804,1235,8.65816
ableg,1908,1883,1.24039,625,4.38166
use,1907,1861,1.2259,1460,10.23556
face,1898,1829,1.20482,1368,9.59058
call,1890,1822,1.20021,1442,10.10937
really,1888,1819,1.19823,1425,9.99019
control,1885,1690,1.11326,1291,9.05076
parliament,1868,1718,1.1317,983,6.89148
service,1854,1760,1.15937,1340,9.39428
ago,1849,1636,1.07768,1304,9.1419
rate,1834,1667,1.0981,1189,8.33567
5,1826,1740,1.14619,1330,9.32417
