Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,pandemic,24302,23602,7322
1,people,18119,15721,5875
1,thing,2888,2768,1970
1,make,4100,3989,2612
1,think,3107,2989,2113
1,change,1656,1559,1240
1,right,5147,4813,2908
1,time,7200,6799,3819
1,lot,1428,1383,1120
1,risk,2580,2406,1711
1,going,4109,3918,2543
1,really,1888,1819,1425
1,hope,1113,1079,902
1,year,3472,3286,2238
1,need,6553,6193,3577
2,case,13871,10312,3889
2,new,13313,11473,4576
2,death,9786,8233,3510
2,number,4302,3946,2344
2,day,8452,7540,3890
2,today,6156,5889,3266
2,reported,1824,1680,1151
2,breaking,3017,2996,1839
2,daily,1695,1565,1107
2,rate,1834,1667,1189
2,ontario,4986,4610,2093
2,state,4971,4508,2403
2,total,2574,2291,1475
2,report,3696,3447,2160
2,june,2746,2593,1690
3,social,8608,8326,3837
3,distancing,7547,7408,3553
3,protest,9830,8955,3774
3,rule,2230,2056,1366
3,hand,1611,1491,1178
3,gathering,1410,1338,1053
3,open,2535,2396,1803
3,allowed,1166,1117,920
3,people,18119,15721,5875
3,park,1066,987,804
3,attend,1028,926,718
3,funeral,937,866,648
3,physical,913,896,719
3,thousand,2879,2762,1755
3,large,879,868,729
4,mask,6713,5851,3288
4,trump,10708,9410,3049
4,face,1898,1829,1368
4,away,1721,1693,1358
4,wear,1803,1688,1307
4,day,8452,7540,3890
4,line,1515,1484,1204
4,wearing,1398,1342,1097
4,swab,857,663,598
4,visit,1538,1491,1204
4,maine,703,677,595
4,throw,647,647,609
4,threat,834,819,719
4,production,610,595,556
4,poll,770,707,593
5,health,9755,8894,4073
5,care,5040,4560,2731
5,support,3590,3403,2251
5,public,5157,4816,2837
5,update,2909,2765,1461
5,dr,2912,2688,1802
5,community,2822,2652,1849
5,second,1648,1587,1219
5,thank,1467,1404,1119
5,wave,1289,1173,940
5,live,2062,1992,1336
5,sick,1496,1322,1011
5,testing,2329,2078,1429
5,bc,2171,2009,1133
5,service,1854,1760,1340
6,protest,9830,8955,3774
6,police,4177,3751,2272
6,people,18119,15721,5875
6,realdonaldtrump,3088,3006,1544
6,black,3302,2789,1894
6,white,2273,2121,1465
6,american,4747,4371,2098
6,protester,1988,1872,1357
6,house,2043,1955,1396
6,riot,2696,2641,1553
6,floyd,1407,1358,1048
6,george,1427,1399,1084
6,thousand,2879,2762,1755
6,shit,1013,1006,873
6,protesting,1463,1416,1135
7,pandemic,24302,23602,7322
7,great,2700,2636,1992
7,global,2485,2349,1640
7,crisis,3468,3127,2026
7,response,2831,2751,1819
7,economic,1949,1914,1398
7,trump,10708,9410,3049
7,america,2542,2441,1592
7,amid,1362,1355,982
7,hold,1026,1022,905
7,hell,876,859,775
7,massive,1073,1057,915
7,way,3518,3356,2378
7,race,1033,1005,841
7,war,1093,987,814
8,lockdown,7764,7320,3119
8,control,1885,1690,1291
8,restriction,1660,1583,1197
8,order,2373,2273,1625
8,end,2017,1940,1496
8,uk,1209,1092,608
8,ask,931,912,796
8,long,2196,2086,1595
8,curve,680,637,585
8,economy,3723,3550,2237
8,closed,1071,1012,837
8,hoax,559,519,405
8,india,874,734,350
8,youtube,468,463,280
8,power,904,846,721
9,home,7454,6850,3669
9,life,5230,4953,2989
9,stay,4298,3986,2585
9,matter,1476,1436,1194
9,senior,1517,1279,964
9,death,9786,8233,3510
9,saying,1481,1438,1159
9,real,1357,1330,1110
9,care,5040,4560,2731
9,save,1234,1201,993
9,citizen,1135,1111,896
9,lost,1662,1594,1266
9,nursing,1032,980,766
9,100000,1261,1192,837
9,hey,747,742,659
10,le,3814,2981,1564
10,et,2076,1653,644
10,pour,1486,1194,428
10,du,1208,1049,378
10,au,1180,947,343
10,data,2538,2270,1493
10,fighting,1526,1494,756
10,plus,930,866,536
10,iran,714,607,211
10,brazil,786,750,502
10,sur,885,727,302
10,est,854,752,366
10,stigma,768,664,33
10,une,828,708,322
10,health,9755,8894,4073
11,canadian,5689,5302,2523
11,trudeau,5226,4792,1823
11,cdnpoli,4363,4361,1824
11,canada,6817,6282,3086
11,minister,2525,2415,1531
11,pm,2240,2109,1386
11,liberal,1975,1840,1066
11,justintrudeau,2114,2076,1093
11,leader,1779,1718,1321
11,mean,1617,1524,1266
11,party,1360,1299,1039
11,shut,1309,1263,961
11,justin,1255,1197,788
11,people,18119,15721,5875
11,prime,1201,1172,879
12,virus,5415,5080,2833
12,say,9102,8458,4007
12,spread,4154,3898,2438
12,china,3300,2791,1572
12,asymptomatic,1434,1333,970
12,world,4694,4468,2766
12,rare,954,935,739
12,organization,962,952,791
12,chinese,1067,988,692
12,100,1053,1016,840
12,wuhan,968,898,662
12,expert,1987,1910,1406
12,said,3242,3110,2037
12,transmission,1075,1027,794
12,fuck,684,644,548
13,news,4300,4158,2501
13,worker,4125,3675,2143
13,good,3182,3070,2216
13,positive,2665,2530,1657
13,bad,1366,1238,1042
13,tested,2084,1822,1346
13,wrong,1399,1336,1118
13,national,1551,1522,1165
13,twitter,1203,1114,909
13,getting,1927,1837,1472
13,school,1723,1474,1114
13,week,5852,5374,3147
13,tweet,833,801,685
13,report,3696,3447,2160
13,test,2967,2592,1730
14,onpoli,2539,2538,1215
14,ford,2206,2012,1085
14,fordnation,1954,1914,989
14,ableg,1908,1883,625
14,ontario,4986,4610,2093
14,premier,1954,1792,1128
14,pandemic,24302,23602,7322
14,doug,1151,1129,724
14,got,1936,1883,1473
14,alberta,1433,1313,704
14,decision,1070,1027,863
14,stage,993,881,720
14,say,9102,8458,4007
14,started,975,961,847
14,kenney,881,808,454
15,help,4177,3862,2456
15,vaccine,1944,1561,1077
15,way,3518,3356,2378
15,good,3182,3070,2216
15,need,6553,6193,3577
15,study,2049,1863,1247
15,fight,1676,1627,1260
15,thread,1000,989,721
15,business,3766,3356,2114
15,hydroxychloroquine,870,842,615
15,small,1061,993,827
15,time,7200,6799,3819
15,look,2326,2276,1692
15,canada,6817,6282,3086
15,yes,838,813,718
