Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,18524,12.20234,6948,48.71004
2,12898,8.49631,4296,30.11778
3,9154,6.03002,4104,28.77173
4,6318,4.16186,3247,22.7636
5,13510,8.89946,5106,35.79641
6,11963,7.8804,4397,30.82586
7,8709,5.73689,4141,29.03113
8,9394,6.18812,3733,26.17078
9,7670,5.05247,3774,26.45822
10,6849,4.51165,2154,15.10095
11,9857,6.49311,3550,24.88783
12,8370,5.51358,3681,25.80623
13,9011,5.93583,4204,29.4728
14,8065,5.31267,3242,22.72855
15,11515,7.58529,4871,34.14891
