Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,10618,9.32688,3757,31.80394
2,7612,6.6864,2704,22.89004
3,5192,4.56067,2983,25.25184
4,6874,6.03814,3365,28.48557
5,3971,3.48814,2058,17.42148
6,3925,3.44773,2073,17.54846
7,6485,5.69644,2810,23.78735
8,5484,4.81716,2844,24.07517
9,4996,4.3885,2376,20.11343
10,6577,5.77725,3055,25.86134
11,6158,5.4092,3280,27.76602
12,6035,5.30116,2828,23.93973
13,4262,3.74375,2108,17.84475
14,6389,5.61211,3240,27.42741
15,4628,4.06525,2134,18.06484
16,5763,5.06223,2789,23.60958
17,6205,5.45049,3374,28.56175
18,4249,3.73233,2426,20.5367
19,3817,3.35286,2248,19.02988
20,4603,4.04329,2226,18.84365
