Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
trump,17203,14338,12.59454,3147,26.64014
people,13996,12132,10.65678,4427,37.47566
case,12836,10031,8.81126,3365,28.48557
health,10669,9448,8.29915,4008,33.92872
china,9211,8125,7.13702,3170,26.83484
virus,8650,7759,6.81553,3539,29.95852
say,7647,7112,6.2472,3104,26.27614
new,7323,6394,5.61651,2800,23.7027
US,7118,6429,5.64725,2673,22.62761
test,6625,5589,4.90939,2205,18.66588
canada,6544,5913,5.194,2859,24.20215
outbreak,6398,6282,5.51813,2786,23.58419
need,6366,5603,4.92169,2983,25.25184
get,6281,5815,5.10791,2922,24.73546
one,6002,5557,4.88128,2843,24.06671
spread,5503,5355,4.70385,2869,24.2868
testing,5353,4708,4.13552,2003,16.9559
country,5332,4870,4.27782,2564,21.7049
pandemic,5296,5038,4.42539,2798,23.68577
time,5256,4956,4.35336,2803,23.7281
day,5126,4630,4.067,2551,21.59485
death,4934,4199,3.68841,2025,17.14213
public,4875,4489,3.94315,2477,20.96842
president,4824,4415,3.87815,1951,16.5157
government,4531,4330,3.80348,2435,20.61288
response,4477,4267,3.74814,2309,19.54626
american,4455,4248,3.73145,1968,16.65961
state,4279,3970,3.48726,1986,16.81199
week,4125,3860,3.39063,2148,18.18336
breaking,4071,4068,3.57334,2058,17.42148
home,4021,3817,3.35286,2372,20.07957
know,3989,3732,3.2782,2175,18.41192
cdc,3971,3590,3.15347,1578,13.35816
tested,3965,3569,3.13502,1805,15.27978
realdonaldtrump,3888,3860,3.39063,1578,13.35816
would,3859,3514,3.08671,2059,17.42995
sick,3827,3324,2.91981,2077,17.58232
u,3820,3535,3.10515,2290,19.38542
italy,3806,3388,2.97603,1859,15.7369
world,3752,3550,3.11833,2259,19.123
first,3708,3455,3.03488,1975,16.71887
number,3672,3281,2.88204,1779,15.05968
canadian,3669,3196,2.80738,1944,16.45645
take,3666,3551,3.11921,2151,18.20875
said,3623,3381,2.96988,1787,15.1274
today,3554,3457,3.03664,2120,17.94633
official,3533,3330,2.92508,1825,15.44908
care,3480,3185,2.79771,2076,17.57386
hand,3465,3122,2.74237,2081,17.61619
work,3446,3182,2.79508,2059,17.42995
going,3427,3208,2.81792,1994,16.87971
could,3377,3105,2.72744,1892,16.01625
make,3317,3133,2.75204,2029,17.17599
iran,3308,2900,2.54737,1241,10.50538
news,3295,3162,2.77751,1925,16.29561
de,3287,1624,1.42653,621,5.25692
help,3221,3098,2.72129,2092,17.7093
go,3103,2936,2.57899,1891,16.00779
many,3084,2847,2.50081,1860,15.74537
positive,3072,2942,2.58426,1597,13.519
stop,3033,2858,2.51047,1906,16.13477
2,3011,2645,2.32338,1700,14.39093
via,2928,2910,2.55615,1543,13.06188
1,2906,2544,2.23466,1648,13.95073
house,2896,2770,2.43318,1455,12.31694
due,2885,2845,2.49906,1783,15.09354
still,2872,2751,2.41649,1776,15.03428
trudeau,2868,2573,2.26013,1411,11.94447
crisis,2864,2740,2.40682,1692,14.3232
want,2847,2659,2.33567,1711,14.48404
update,2787,2689,2.36202,1653,13.99306
think,2783,2654,2.33128,1744,14.7634
confirmed,2779,2595,2.27946,1444,12.22382
patient,2773,2548,2.23817,1499,12.68941
much,2757,2608,2.29087,1611,13.63752
right,2731,2515,2.20918,1704,14.42479
expert,2720,2655,2.33216,1654,14.00152
flu,2706,2290,2.01154,1523,12.89258
hospital,2669,2406,2.11344,1512,12.79946
even,2631,2562,2.25047,1670,14.13697
travel,2615,2369,2.08094,1577,13.3497
thing,2567,2506,2.20128,1726,14.61102
see,2550,2386,2.09587,1697,14.36553
doctor,2529,2389,2.0985,1561,13.21426
stay,2527,2069,1.81742,1578,13.35816
cdnpoli,2524,2520,2.21357,1341,11.3519
report,2523,2426,2.131,1307,11.06408
way,2494,2419,2.12486,1666,14.10311
year,2490,2255,1.9808,1603,13.5698
life,2477,2404,2.11168,1596,13.51054
good,2428,2322,2.03965,1694,14.34013
worker,2417,2142,1.88154,1500,12.69788
last,2413,2386,2.09587,1582,13.39203
vaccine,2398,2105,1.84904,1326,11.22492
administration,2364,2278,2.001,1102,9.32871
emergency,2344,2261,1.98607,1431,12.11377
risk,2335,2224,1.95357,1528,12.9349
rate,2327,2025,1.77877,1338,11.3265
every,2323,2161,1.89823,1557,13.18039
medium,2319,2131,1.87188,1464,12.39313
also,2309,2242,1.96938,1586,13.42589
million,2259,2068,1.81654,1432,12.12224
infected,2202,2018,1.77262,1276,10.80166
keep,2191,2133,1.87363,1540,13.03649
bill,2175,1963,1.7243,1254,10.61542
medical,2164,2081,1.82796,1431,12.11377
white,2158,2088,1.8341,1212,10.25988
kit,2129,1926,1.6918,983,8.32134
global,2116,2026,1.77964,1420,12.02066
two,2114,2058,1.80775,1388,11.74977
chinese,2072,1848,1.62329,1184,10.02286
school,2069,1819,1.59781,1215,10.28528
dr,2063,1940,1.7041,1325,11.21646
disease,2057,1942,1.70586,1351,11.43655
protect,2053,2027,1.78052,1536,13.00262
america,2042,1962,1.72343,1298,10.98789
please,2013,1863,1.63646,1464,12.39313
back,2009,1941,1.70498,1419,12.01219
penny,1993,1892,1.66194,1028,8.70228
3,1972,1821,1.59957,1311,11.09794
plan,1967,1802,1.58288,1258,10.64928
may,1961,1852,1.6268,1309,11.08101
community,1942,1851,1.62592,1405,11.89368
wuhan,1936,1763,1.54862,1051,8.89698
call,1928,1822,1.60045,1375,11.63972
mask,1924,1704,1.4968,1267,10.72547
really,1901,1803,1.58376,1316,11.14027
around,1894,1795,1.57673,1320,11.17413
total,1867,1759,1.54511,1008,8.53297
well,1862,1802,1.58288,1346,11.39423
bc,1850,1708,1.50031,1041,8.81233
korea,1833,1743,1.53106,1089,9.21866
close,1797,1726,1.51612,1239,10.48844
tell,1794,1744,1.53193,1262,10.68315
border,1787,1562,1.37207,1089,9.21866
fear,1751,1665,1.46254,1174,9.9382
look,1731,1664,1.46166,1248,10.56463
everyone,1699,1649,1.44849,1322,11.19106
must,1687,1619,1.42213,1234,10.44612
le,1676,1403,1.2324,976,8.26208
epidemic,1676,1623,1.42565,1067,9.03242
information,1672,1577,1.38524,1176,9.95513
march,1657,1534,1.34747,1142,9.66732
made,1657,1614,1.41774,1208,10.22602
since,1656,1618,1.42126,1192,10.09058
come,1656,1626,1.42828,1231,10.42072
quarantine,1655,1594,1.40017,1164,9.85355
man,1640,1405,1.23416,1038,8.78693
symptom,1624,1505,1.322,1118,9.46415
minister,1607,1514,1.3299,1117,9.45568
market,1607,1472,1.29301,1037,8.77846
cruise,1593,1405,1.23416,933,7.89808
put,1580,1511,1.32727,1195,10.11597
listen,1573,1118,0.98205,895,7.5764
south,1555,1476,1.29652,901,7.62719
social,1552,1491,1.3097,1181,9.99746
conference,1539,1477,1.2974,1107,9.37103
infection,1530,1485,1.30443,1020,8.63456
economy,1526,1444,1.26841,1055,8.93084
mean,1523,1462,1.28422,1119,9.47261
ship,1510,1328,1.16652,900,7.61873
spreading,1496,1488,1.30706,1111,9.40489
question,1493,1370,1.20341,1084,9.17633
national,1489,1419,1.24645,1094,9.26098
person,1483,1358,1.19287,986,8.34674
died,1483,1401,1.23064,986,8.34674
video,1478,1445,1.26929,1034,8.75307
fight,1474,1448,1.27193,1078,9.12554
month,1464,1421,1.24821,1099,9.30331
got,1457,1388,1.21922,1083,9.16787
latest,1455,1442,1.26666,1004,8.49911
federal,1451,1416,1.24382,1041,8.81233
fact,1449,1366,1.1999,1035,8.76153
business,1444,1376,1.20868,1049,8.88005
taking,1443,1391,1.22186,1115,9.43875
enough,1441,1352,1.1876,1032,8.73614
far,1439,1416,1.24382,1031,8.72767
family,1426,1381,1.21307,1083,9.16787
system,1410,1341,1.17794,1012,8.56683
measure,1393,1366,1.1999,1050,8.88851
ontario,1392,1304,1.14544,916,7.75417
never,1389,1364,1.19814,1046,8.85465
cut,1389,1227,1.0778,909,7.69491
told,1384,1311,1.15159,968,8.19436
team,1383,1317,1.15686,1024,8.66842
getting,1379,1352,1.1876,1064,9.00703
use,1376,1342,1.17882,1092,9.24405
important,1362,1328,1.16652,1040,8.80386
concern,1361,1333,1.17091,969,8.20283
4,1360,1322,1.16125,1037,8.77846
gop,1359,1266,1.11206,789,6.67908
yet,1358,1337,1.17442,1028,8.70228
real,1357,1280,1.12436,1005,8.50758
working,1356,1306,1.14719,1013,8.5753
panic,1353,1274,1.11909,1017,8.60916
show,1352,1315,1.1551,1035,8.76153
city,1344,1235,1.08483,897,7.59333
local,1340,1294,1.13665,1017,8.60916
contact,1340,1274,1.11909,923,7.81343
ago,1332,1301,1.1428,959,8.11817
saying,1329,1260,1.10679,974,8.24515
democrat,1329,1187,1.04266,731,6.1881
anyone,1327,1307,1.14807,1001,8.47372
amid,1326,1319,1.15861,894,7.56793
wash,1320,1283,1.12699,1078,9.12554
province,1319,1279,1.12348,967,8.1859
big,1316,1242,1.09098,946,8.00813
healthcare,1314,1173,1.03037,865,7.32244
novel,1310,1303,1.14456,904,7.65259
face,1310,1254,1.10152,951,8.05045
coming,1310,1278,1.1226,987,8.3552
reported,1309,1260,1.10679,899,7.61026
impact,1303,1238,1.08746,950,8.04199
great,1296,1267,1.11294,1024,8.66842
already,1296,1270,1.11557,1011,8.55837
coronavirusoutbreak,1295,1295,1.13753,643,5.44316
leader,1294,1228,1.07868,931,7.88115
read,1288,1254,1.10152,1017,8.60916
support,1283,1234,1.08395,991,8.38906
leave,1272,1178,1.03476,908,7.68645
give,1263,1241,1.0901,1020,8.63456
die,1261,1187,1.04266,908,7.68645
united,1260,1233,1.08307,909,7.69491
better,1259,1200,1.05408,968,8.19436
deal,1254,1224,1.07516,940,7.95734
free,1248,1130,0.9926,916,7.75417
company,1246,1204,1.0576,921,7.7965
including,1244,1206,1.05935,935,7.91501
next,1241,1221,1.07253,967,8.1859
cant,1241,1193,1.04793,930,7.87268
funding,1240,1153,1.0128,843,7.13621
problem,1238,1169,1.02685,888,7.51714
lot,1231,1180,1.03652,949,8.03352
live,1231,1211,1.06375,870,7.36477
job,1223,1164,1.02246,956,8.09278
office,1222,1168,1.02597,937,7.93194
instead,1219,1211,1.06375,929,7.86422
place,1217,1181,1.03739,976,8.26208
paid,1217,1117,0.98118,856,7.24625
donald,1213,1191,1.04618,809,6.84839
nothing,1212,1147,1.00753,919,7.77956
point,1204,1150,1.01016,920,7.78803
stock,1203,1133,0.99523,857,7.25472
someone,1195,1179,1.03564,952,8.05892
asked,1194,1153,1.0128,913,7.72877
another,1192,1177,1.03388,929,7.86422
event,1191,1115,0.97942,904,7.65259
bad,1184,1126,0.98908,900,7.61873
staff,1179,1135,0.99699,835,7.06848
action,1176,1150,1.01016,890,7.53407
lie,1175,1046,0.91881,758,6.41666
press,1174,1142,1.00314,863,7.30551
done,1169,1107,0.97239,923,7.81343
lack,1166,994,0.87313,703,5.95107
without,1158,1131,0.99347,923,7.81343
watch,1154,1129,0.99172,857,7.25472
least,1154,1103,0.96888,835,7.06848
republican,1150,1113,0.97766,762,6.45052
science,1145,1095,0.96185,889,7.52561
across,1144,1132,0.99435,886,7.50021
flight,1132,1079,0.9478,813,6.88225
economic,1121,1086,0.95395,830,7.02616
control,1118,1060,0.93111,846,7.1616
alberta,1116,1013,0.88982,654,5.53627
trying,1103,1071,0.94077,831,7.03462
safe,1103,1081,0.94955,891,7.54254
effort,1103,1084,0.95219,861,7.28858
change,1100,1068,0.93813,902,7.63566
follow,1099,1084,0.95219,916,7.75417
10,1097,1059,0.93023,817,6.91611
start,1094,1070,0.93989,884,7.48328
away,1094,1062,0.93286,908,7.68645
liberal,1093,1031,0.90563,727,6.15424
story,1091,1060,0.93111,817,6.91611
prevent,1088,1083,0.95131,887,7.50868
obama,1084,995,0.87401,658,5.57013
making,1084,1069,0.93901,863,7.30551
limit,1077,1054,0.92584,772,6.53517
washington,1076,1030,0.90475,703,5.95107
service,1076,1040,0.91354,889,7.52561
charge,1067,1045,0.91793,746,6.31508
thousand,1054,1019,0.89509,834,7.06002
hour,1053,1027,0.90212,828,7.00923
thank,1052,1017,0.89334,840,7.11081
lying,1043,993,0.87225,738,6.24735
pay,1041,959,0.84239,778,6.58596
sure,1040,1023,0.89861,850,7.19546
possible,1033,1006,0.88367,832,7.04309
best,1033,1007,0.88455,868,7.34784
announced,1032,1013,0.88982,795,6.72987
anything,1025,1001,0.87928,778,6.58596
toronto,1015,921,0.80901,645,5.46009
blame,1013,874,0.76772,674,5.70558
political,1011,986,0.86611,774,6.5521
decision,1009,911,0.80022,768,6.50131
daily,1008,974,0.85556,831,7.03462
three,999,986,0.86611,780,6.6029
advice,999,970,0.85205,812,6.87378
6,998,955,0.83887,744,6.29815
worse,997,957,0.84063,742,6.28122
avoid,997,965,0.84766,806,6.82299
hoax,994,904,0.79408,630,5.33311
authority,994,981,0.86171,811,6.86532
likely,990,973,0.85469,756,6.39973
believe,989,959,0.84239,745,6.30661
