Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,trump,17203,14338,12.59454,3147,26.64014
1,medium,2319,2131,1.87188,1464,12.39313
1,fact,1449,1366,1.1999,1035,8.76153
1,pandemic,5296,5038,4.42539,2798,23.68577
1,donald,1213,1191,1.04618,809,6.84839
1,american,4455,4248,3.73145,1968,16.65961
1,better,1259,1200,1.05408,968,8.19436
1,cdc,3971,3590,3.15347,1578,13.35816
1,people,13996,12132,10.65678,4427,37.47566
1,ago,1332,1301,1.1428,959,8.11817
1,hoax,994,904,0.79408,630,5.33311
1,said,3623,3381,2.96988,1787,15.1274
1,trying,1103,1071,0.94077,831,7.03462
1,crisis,2864,2740,2.40682,1692,14.3232
1,news,3295,3162,2.77751,1925,16.29561
2,case,12836,10031,8.81126,3365,28.48557
2,new,7323,6394,5.61651,2800,23.7027
2,confirmed,2779,2595,2.27946,1444,12.22382
2,death,4934,4199,3.68841,2025,17.14213
2,total,1867,1759,1.54511,1008,8.53297
2,breaking,4071,4068,3.57334,2058,17.42148
2,report,2523,2426,2.131,1307,11.06408
2,number,3672,3281,2.88204,1779,15.05968
2,bc,1850,1708,1.50031,1041,8.81233
2,ontario,1392,1304,1.14544,916,7.75417
2,state,4279,3970,3.48726,1986,16.81199
2,reported,1309,1260,1.10679,899,7.61026
2,novel,1310,1303,1.14456,904,7.65259
2,province,1319,1279,1.12348,967,8.1859
2,york,818,768,0.67461,576,4.87598
3,care,3480,3185,2.79771,2076,17.57386
3,home,4021,3817,3.35286,2372,20.07957
3,hand,3465,3122,2.74237,2081,17.61619
3,stay,2527,2069,1.81742,1578,13.35816
3,protect,2053,2027,1.78052,1536,13.00262
3,community,1942,1851,1.62592,1405,11.89368
3,expert,2720,2655,2.33216,1654,14.00152
3,mask,1924,1704,1.4968,1267,10.72547
3,listen,1573,1118,0.98205,895,7.5764
3,face,1310,1254,1.10152,951,8.05045
3,health,10669,9448,8.29915,4008,33.92872
3,wash,1320,1283,1.12699,1078,9.12554
3,local,1340,1294,1.13665,1017,8.60916
3,sick,3827,3324,2.91981,2077,17.58232
3,follow,1099,1084,0.95219,916,7.75417
4,question,1493,1370,1.20341,1084,9.17633
4,coming,1310,1278,1.1226,987,8.3552
4,canada,6544,5913,5.194,2859,24.20215
4,flight,1132,1079,0.9478,813,6.88225
4,china,9211,8125,7.13702,3170,26.83484
4,paper,846,762,0.66934,658,5.57013
4,screening,733,701,0.61576,578,4.89291
4,border,1787,1562,1.37207,1089,9.21866
4,economy,1526,1444,1.26841,1055,8.93084
4,toilet,657,618,0.54285,548,4.63896
4,panic,1353,1274,1.11909,1017,8.60916
4,citizen,704,655,0.57535,568,4.80826
4,thread,796,777,0.68252,611,5.17227
4,wow,385,378,0.33204,344,2.91205
4,airport,689,652,0.57272,565,4.78287
5,vaccine,2398,2105,1.84904,1326,11.22492
5,gop,1359,1266,1.11206,789,6.67908
5,big,1316,1242,1.09098,946,8.00813
5,limit,1077,1054,0.92584,772,6.53517
5,charge,1067,1045,0.91793,746,6.31508
5,story,1091,1060,0.93111,817,6.91611
5,republican,1150,1113,0.97766,762,6.45052
5,report,2523,2426,2.131,1307,11.06408
5,blocking,610,609,0.53495,451,3.81783
5,drugmakers,506,506,0.44447,387,3.27605
5,guy,676,657,0.57711,577,4.88445
5,fauci,659,625,0.549,452,3.82629
5,funding,1240,1153,1.0128,843,7.13621
5,worry,574,549,0.48224,501,4.24109
5,kill,899,850,0.74664,720,6.09498
6,house,2896,2770,2.43318,1455,12.31694
6,update,2787,2689,2.36202,1653,13.99306
6,white,2158,2088,1.8341,1212,10.25988
6,penny,1993,1892,1.66194,1028,8.70228
6,tell,1794,1744,1.53193,1262,10.68315
6,america,2042,1962,1.72343,1298,10.98789
6,video,1478,1445,1.26929,1034,8.75307
6,conference,1539,1477,1.2974,1107,9.37103
6,live,1231,1211,1.06375,870,7.36477
6,real,1357,1280,1.12436,1005,8.50758
6,information,1672,1577,1.38524,1176,9.95513
6,press,1174,1142,1.00314,863,7.30551
6,lying,1043,993,0.87225,738,6.24735
6,briefing,921,802,0.70448,558,4.72361
6,daily,1008,974,0.85556,831,7.03462
7,test,6625,5589,4.90939,2205,18.66588
7,tested,3965,3569,3.13502,1805,15.27978
7,positive,3072,2942,2.58426,1597,13.519
7,people,13996,12132,10.65678,4427,37.47566
7,patient,2773,2548,2.23817,1499,12.68941
7,hospital,2669,2406,2.11344,1512,12.79946
7,symptom,1624,1505,1.322,1118,9.46415
7,person,1483,1358,1.19287,986,8.34674
7,doctor,2529,2389,2.0985,1561,13.21426
7,contact,1340,1274,1.11909,923,7.81343
7,seattle,926,868,0.76245,561,4.74901
7,told,1384,1311,1.15159,968,8.19436
7,result,824,801,0.7036,671,5.68018
7,week,4125,3860,3.39063,2148,18.18336
7,cdc,3971,3590,3.15347,1578,13.35816
8,canada,6544,5913,5.194,2859,24.20215
8,government,4531,4330,3.80348,2435,20.61288
8,trudeau,2868,2573,2.26013,1411,11.94447
8,cdnpoli,2524,2520,2.21357,1341,11.3519
8,minister,1607,1514,1.3299,1117,9.45568
8,canadian,3669,3196,2.80738,1944,16.45645
8,federal,1451,1416,1.24382,1041,8.81233
8,toronto,1015,921,0.80901,645,5.46009
8,committee,835,759,0.66671,580,4.90985
8,impact,1303,1238,1.08746,950,8.04199
8,major,967,958,0.84151,770,6.51824
8,response,4477,4267,3.74814,2309,19.54626
8,pm,967,847,0.74401,696,5.89181
8,prime,659,635,0.55779,541,4.5797
8,justin,611,605,0.53143,513,4.34267
9,china,9211,8125,7.13702,3170,26.83484
9,realdonaldtrump,3888,3860,3.39063,1578,13.35816
9,coronavirusoutbreak,1295,1295,1.13753,643,5.44316
9,start,1094,1070,0.93989,884,7.48328
9,dear,757,747,0.65617,563,4.76594
9,potus,786,770,0.67637,540,4.57124
9,virus,8650,7759,6.81553,3539,29.95852
9,january,693,667,0.58589,555,4.69821
9,early,823,803,0.70536,638,5.40083
9,contain,800,790,0.69394,656,5.5532
9,knew,638,632,0.55515,481,4.07179
9,kit,2129,1926,1.6918,983,8.32134
9,coronaoutbreak,542,541,0.47522,398,3.36917
9,leading,580,580,0.50947,502,4.24956
9,market,1607,1472,1.29301,1037,8.77846
10,italy,3806,3388,2.97603,1859,15.7369
10,school,2069,1819,1.59781,1215,10.28528
10,close,1797,1726,1.51612,1239,10.48844
10,concern,1361,1333,1.17091,969,8.20283
10,event,1191,1115,0.97942,904,7.65259
10,outbreak,6398,6282,5.51813,2786,23.58419
10,university,836,802,0.70448,630,5.33311
10,closed,963,911,0.80022,762,6.45052
10,city,1344,1235,1.08483,897,7.59333
10,closing,685,663,0.58238,589,4.98603
10,cancelled,706,672,0.59029,574,4.85905
10,cancel,684,669,0.58765,563,4.76594
10,country,5332,4870,4.27782,2564,21.7049
10,breaking,4071,4068,3.57334,2058,17.42148
10,lockdown,628,602,0.5288,495,4.1903
11,health,10669,9448,8.29915,4008,33.92872
11,public,4875,4489,3.94315,2477,20.96842
11,pandemic,5296,5038,4.42539,2798,23.68577
11,read,1288,1254,1.10152,1017,8.60916
