Normalized Token,Total Number of Occurences,Document Frequency,User Frequency
trump,17203,14338,3147
people,13996,12132,4427
case,12836,10031,3365
u,10938,9828,3799
health,10669,9448,4008
china,9211,8125,3170
virus,8650,7759,3539
say,7647,7112,3104
new,7323,6394,2800
test,6625,5589,2205
canada,6544,5913,2859
outbreak,6398,6282,2786
need,6366,5603,2983
get,6281,5815,2922
one,6002,5557,2843
spread,5503,5355,2869
testing,5353,4708,2003
country,5332,4870,2564
pandemic,5296,5038,2798
time,5256,4956,2803
day,5126,4630,2551
death,4934,4199,2025
public,4875,4489,2477
president,4824,4415,1951
government,4531,4330,2435
response,4477,4267,2309
american,4455,4248,1968
state,4279,3970,1986
week,4125,3860,2148
breaking,4071,4068,2058
home,4021,3817,2372
know,3989,3732,2175
cdc,3971,3590,1578
tested,3965,3569,1805
realdonaldtrump,3888,3860,1578
would,3859,3514,2059
sick,3827,3324,2077
italy,3806,3388,1859
world,3752,3550,2259
first,3708,3455,1975
number,3672,3281,1779
canadian,3669,3196,1944
take,3666,3551,2151
said,3623,3381,1787
today,3554,3457,2120
official,3533,3330,1825
care,3480,3185,2076
hand,3465,3122,2081
work,3446,3182,2059
going,3427,3208,1994
could,3377,3105,1892
make,3317,3133,2029
iran,3308,2900,1241
news,3295,3162,1925
de,3287,1624,621
help,3221,3098,2092
go,3103,2936,1891
many,3084,2847,1860
positive,3072,2942,1597
stop,3033,2858,1906
2,3011,2645,1700
via,2928,2910,1543
1,2906,2544,1648
house,2896,2770,1455
due,2885,2845,1783
still,2872,2751,1776
trudeau,2868,2573,1411
crisis,2864,2740,1692
want,2847,2659,1711
update,2787,2689,1653
think,2783,2654,1744
confirmed,2779,2595,1444
patient,2773,2548,1499
much,2757,2608,1611
right,2731,2515,1704
expert,2720,2655,1654
flu,2706,2290,1523
hospital,2669,2406,1512
even,2631,2562,1670
travel,2615,2369,1577
thing,2567,2506,1726
see,2550,2386,1697
doctor,2529,2389,1561
stay,2527,2069,1578
cdnpoli,2524,2520,1341
report,2523,2426,1307
way,2494,2419,1666
year,2490,2255,1603
life,2477,2404,1596
good,2428,2322,1694
worker,2417,2142,1500
last,2413,2386,1582
