Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,trump,17203,14338,3147
1,medium,2319,2131,1464
1,fact,1449,1366,1035
1,pandemic,5296,5038,2798
1,donald,1213,1191,809
1,american,4455,4248,1968
1,better,1259,1200,968
1,cdc,3971,3590,1578
1,people,13996,12132,4427
1,ago,1332,1301,959
1,hoax,994,904,630
1,said,3623,3381,1787
1,trying,1103,1071,831
1,crisis,2864,2740,1692
1,news,3295,3162,1925
2,case,12836,10031,3365
2,new,7323,6394,2800
2,confirmed,2779,2595,1444
2,death,4934,4199,2025
2,total,1867,1759,1008
2,breaking,4071,4068,2058
2,report,2523,2426,1307
2,number,3672,3281,1779
2,bc,1850,1708,1041
2,ontario,1392,1304,916
2,state,4279,3970,1986
2,reported,1309,1260,899
2,novel,1310,1303,904
2,province,1319,1279,967
2,york,818,768,576
3,care,3480,3185,2076
3,home,4021,3817,2372
3,hand,3465,3122,2081
3,stay,2527,2069,1578
3,protect,2053,2027,1536
3,community,1942,1851,1405
3,expert,2720,2655,1654
3,mask,1924,1704,1267
3,listen,1573,1118,895
3,face,1310,1254,951
3,health,10669,9448,4008
3,wash,1320,1283,1078
3,local,1340,1294,1017
3,sick,3827,3324,2077
3,follow,1099,1084,916
4,question,1493,1370,1084
4,coming,1310,1278,987
4,canada,6544,5913,2859
4,flight,1132,1079,813
4,china,9211,8125,3170
4,paper,846,762,658
4,screening,733,701,578
4,border,1787,1562,1089
4,economy,1526,1444,1055
4,toilet,657,618,548
4,panic,1353,1274,1017
4,citizen,704,655,568
4,thread,796,777,611
4,wow,385,378,344
4,airport,689,652,565
5,vaccine,2398,2105,1326
5,gop,1359,1266,789
5,big,1316,1242,946
5,limit,1077,1054,772
5,charge,1067,1045,746
5,story,1091,1060,817
5,republican,1150,1113,762
5,report,2523,2426,1307
5,blocking,610,609,451
5,drugmakers,506,506,387
5,guy,676,657,577
5,fauci,659,625,452
5,funding,1240,1153,843
5,worry,574,549,501
5,kill,899,850,720
6,house,2896,2770,1455
6,update,2787,2689,1653
6,white,2158,2088,1212
6,penny,1993,1892,1028
6,tell,1794,1744,1262
6,america,2042,1962,1298
6,video,1478,1445,1034
