Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,5094,6.18376,2633,28.46794
2,4350,5.2806,1817,19.64537
3,3694,4.48426,1889,20.42383
4,2137,2.59417,1468,15.87199
5,3249,3.94406,1749,18.91015
6,2876,3.49127,1286,13.90421
7,3476,4.21962,1614,17.45054
8,3703,4.49519,1471,15.90442
9,4574,5.55252,2456,26.55422
10,3288,3.99141,1539,16.63964
11,3551,4.31067,1659,17.93707
12,3013,3.65757,1894,20.47789
13,3184,3.86516,1456,15.74224
14,3622,4.39686,1883,20.35896
15,3152,3.82631,1686,18.229
16,2998,3.63937,1612,17.42891
17,2777,3.37109,1626,17.58028
18,2665,3.23513,1471,15.90442
19,2383,2.8928,1469,15.8828
20,2991,3.63087,1756,18.98584
21,3353,4.07031,1891,20.44545
22,2773,3.36623,1174,12.69326
23,3385,4.10916,1820,19.6778
24,3316,4.0254,1887,20.40221
25,2773,3.36623,1696,18.33712
