Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
vaccine,13331,11089,13.46128,3884,41.99373
pandemic,12591,12179,14.78447,4304,46.53476
people,9648,8590,10.42767,3400,36.76073
case,8330,6504,7.89541,2529,27.3435
ontario,6922,6450,7.82986,2349,25.39734
day,6779,5389,6.54187,2600,28.11115
health,6642,6040,7.33214,2663,28.7923
new,6348,5533,6.71668,2475,26.75965
get,6341,5652,6.86114,2782,30.07893
canada,6257,5719,6.94247,2476,26.77046
one,5225,4843,5.87907,2517,27.21375
government,4578,4270,5.18349,2027,21.91588
today,4415,4161,5.05117,2127,22.99708
death,4211,3612,4.38472,1839,19.88323
need,4207,3974,4.82416,2194,23.72148
say,4165,3958,4.80474,2076,22.44567
time,4007,3719,4.51461,2114,22.85653
alberta,3948,3645,4.42478,1297,14.02314
lockdown,3822,3353,4.07031,1624,17.55865
year,3732,3432,4.16621,2010,21.73208
india,3731,3246,3.94042,1541,16.66126
onpoli,3714,3709,4.50247,1321,14.28263
de,3594,1576,1.91316,444,4.80052
vaccinated,3542,3051,3.7037,1896,20.49951
home,3503,3225,3.91493,1862,20.13191
week,3447,3098,3.76076,1858,20.08866
public,3407,3218,3.90643,1832,19.80755
worker,3301,2851,3.46092,1639,17.72083
care,3263,2905,3.52647,1572,16.99643
cdnpoli,3223,3214,3.90157,1269,13.7204
would,3094,2824,3.42814,1695,18.32631
sick,3079,2698,3.27519,1465,15.83955
work,3013,2882,3.49855,1765,19.08314
province,3004,2833,3.43907,1508,16.30447
patient,3001,2553,3.09917,1466,15.85036
1,2966,2518,3.05668,1603,17.3316
2,2893,2464,2.99113,1554,16.80182
ableg,2873,2858,3.46942,693,7.4927
u,2858,2623,3.18414,1681,18.17494
may,2797,2522,3.06153,1637,17.69921
first,2686,2552,3.09795,1613,17.43972
still,2685,2566,3.11495,1627,17.59109
many,2655,2498,3.0324,1579,17.07212
vaccination,2636,2537,3.07974,1504,16.26122
know,2614,2472,3.00084,1586,17.1478
mask,2610,2216,2.69007,1401,15.14758
hospital,2608,2322,2.81875,1372,14.83404
ford,2572,2330,2.82846,1026,11.09309
dos,2567,2216,2.69007,1239,13.39604
shot,2551,1630,1.97871,1156,12.49865
life,2487,2319,2.81511,1455,15.73143
go,2475,2243,2.72285,1464,15.82874
help,2466,2353,2.85638,1538,16.62882
canadian,2442,2296,2.78719,1330,14.37993
right,2440,2279,2.76655,1478,15.98011
icu,2388,2122,2.57596,1242,13.42848
make,2377,2216,2.69007,1492,16.13147
country,2375,2224,2.69978,1382,14.94216
variant,2269,1949,2.36595,1237,13.37442
even,2256,2206,2.67793,1428,15.43951
last,2234,2145,2.60388,1396,15.09352
report,2224,2078,2.52255,1181,12.76895
premier,2220,2141,2.59903,1110,12.0013
want,2203,2018,2.44971,1351,14.60698
3,2199,2064,2.50555,1354,14.63942
paid,2138,1970,2.39144,1152,12.4554
number,2132,1968,2.38902,1288,13.92583
see,2097,2044,2.48128,1401,15.14758
school,2083,1740,2.11224,1021,11.03903
family,2074,1921,2.33196,1286,13.90421
month,2065,1948,2.36474,1318,14.25019
virus,2056,1941,2.35624,1227,13.2663
test,1996,1679,2.03819,1102,11.9148
take,1996,1927,2.33925,1302,14.0772
think,1955,1858,2.25548,1225,13.24468
