Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
dose,1942,1634,1.98356,1053,11.38501
back,1936,1816,2.2045,1307,14.13126
good,1903,1813,2.20086,1271,13.74203
news,1899,1828,2.21907,1190,12.86626
fordnation,1892,1870,2.27005,929,10.04433
million,1878,1643,1.99449,1119,12.09861
le,1865,1495,1.81483,880,9.51454
said,1853,1741,2.11345,1133,12.24997
world,1826,1760,2.13652,1180,12.75814
also,1826,1800,2.18508,1249,13.50416
going,1788,1702,2.06611,1159,12.53108
via,1778,1767,2.14502,1076,11.63369
restriction,1772,1701,2.0649,1086,11.74181
bc,1754,1567,1.90223,704,7.61163
please,1745,1639,1.98963,1180,12.75814
every,1739,1624,1.97142,1150,12.43378
wave,1732,1595,1.93622,1031,11.14715
could,1722,1653,2.00663,1130,12.21754
getting,1717,1664,2.01998,1159,12.53108
dr,1706,1611,1.95564,1061,11.47151
support,1704,1621,1.96778,1143,12.35809
US,1700,1498,1.81847,1004,10.85523
spread,1687,1604,1.94715,1085,11.731
rate,1680,1532,1.85974,1010,10.9201
way,1677,1626,1.97385,1179,12.74732
trudeau,1669,1521,1.84639,819,8.85501
died,1666,1550,1.88159,1003,10.84442
got,1661,1559,1.89252,1107,11.96886
stay,1658,1548,1.87917,1129,12.20673
well,1647,1604,1.94715,1208,13.06087
keep,1640,1577,1.91437,1111,12.01211
child,1639,1387,1.68372,906,9.79565
community,1603,1436,1.74321,1014,10.96335
plan,1598,1457,1.7687,980,10.59574
end,1585,1465,1.77841,1051,11.36339
kenney,1578,1454,1.76506,604,6.53044
stop,1535,1436,1.74321,1036,11.20121
thing,1525,1460,1.77234,1069,11.55801
response,1522,1428,1.73349,975,10.54168
since,1509,1448,1.75777,1043,11.27689
minister,1501,1419,1.72257,891,9.63347
risk,1490,1333,1.61817,935,10.1092
much,1488,1432,1.73835,1049,11.34177
positive,1476,1300,1.57811,911,9.84971
outbreak,1470,1398,1.69708,940,10.16326
never,1465,1395,1.69343,971,10.49843
pfizer,1462,1383,1.67887,941,10.17407
two,1450,1407,1.708,1029,11.12553
toronto,1438,1363,1.65459,865,9.35236
due,1429,1410,1.71164,997,10.77954
come,1424,1365,1.65702,1024,11.07147
job,1423,1363,1.65459,988,10.68224
enough,1415,1100,1.33532,849,9.17937
per,1405,1217,1.47735,878,9.49292
jkenney,1399,1359,1.64973,567,6.13039
everyone,1395,1276,1.54898,940,10.16326
resident,1394,1340,1.62667,857,9.26587
covid19ab,1387,1381,1.67644,553,5.97902
covid19vaccine,1378,1378,1.6728,516,5.57898
another,1360,1326,1.60967,952,10.293
kid,1358,1084,1.3159,743,8.0333
doctor,1329,1250,1.51741,876,9.47129
call,1326,1270,1.54169,955,10.32544
april,1311,1169,1.41909,778,8.41172
crisis,1310,1226,1.48828,837,9.04963
doug,1300,1248,1.51499,699,7.55757
infection,1293,1236,1.50042,848,9.16856
business,1292,1170,1.4203,877,9.48211
border,1288,1146,1.39117,825,8.91988
safe,1286,1210,1.46886,887,9.59023
measure,1284,1238,1.50285,874,9.44967
really,1263,1180,1.43244,907,9.80647
next,1260,1242,1.5077,951,10.28219
update,1258,1195,1.45065,743,8.0333
fully,1256,1180,1.43244,897,9.69835
data,1249,1177,1.4288,793,8.5739
book,1245,1105,1.34139,728,7.87112
18,1242,1171,1.42151,754,8.15223
ltc,1241,1064,1.29162,645,6.97373
made,1236,1185,1.43851,887,9.59023
look,1233,1196,1.45186,931,10.06595
protect,1228,1165,1.41423,833,9.00638
medical,1226,1175,1.42637,853,9.22262
covid19on,1218,1218,1.47857,472,5.10325
live,1214,1176,1.42758,834,9.01719
science,1203,1113,1.35111,823,8.89826
show,1188,1160,1.40816,882,9.53617
wear,1183,1080,1.31105,829,8.96313
question,1181,1100,1.33532,858,9.27668
travel,1180,1042,1.26492,762,8.23873
long,1179,1148,1.39359,848,9.16856
cdc,1179,1078,1.30862,747,8.07655
must,1178,1107,1.34382,827,8.94151
state,1173,1081,1.31226,773,8.35766
4,1167,1126,1.36689,839,9.07125
active,1165,1044,1.26734,659,7.12509
second,1160,1109,1.34625,832,8.99557
longterm,1160,1057,1.28313,645,6.97373
leave,1160,1062,1.28919,772,8.34685
clinic,1157,1066,1.29405,730,7.89275
better,1145,1109,1.34625,816,8.82258
system,1142,1049,1.27341,791,8.55228
federal,1142,1109,1.34625,796,8.60634
full,1131,1077,1.3074,804,8.69283
medium,1130,1072,1.30133,754,8.15223
tell,1128,1116,1.35475,841,9.09287
open,1108,1044,1.26734,761,8.22792
10,1097,1061,1.28798,842,9.10369
done,1094,1057,1.28313,813,8.79014
breaking,1083,1081,1.31226,774,8.36847
abpoli,1082,1072,1.30133,452,4.88701
leader,1072,1051,1.27584,836,9.03882
appointment,1063,942,1.14352,616,6.66018
thank,1059,1027,1.24671,789,8.53065
read,1055,1033,1.25399,789,8.53065
best,1054,1033,1.25399,800,8.64958
place,1051,973,1.18115,767,8.29279
nova,1049,959,1.16416,497,5.37355
pay,1047,984,1.19451,754,8.15223
40,1045,974,1.18237,610,6.59531
yet,1043,1036,1.25763,829,8.96313
part,1042,1017,1.23457,811,8.76852
continue,1039,1007,1.22243,764,8.26035
total,1037,928,1.12653,646,6.98454
working,1026,1000,1.21393,803,8.68202
bcpoli,1019,1018,1.23578,314,3.39496
without,1011,993,1.20543,755,8.16304
expert,1011,981,1.19087,727,7.86031
anyone,1011,967,1.17387,744,8.04411
vhcon,1010,1010,1.22607,319,3.44902
three,1010,946,1.14838,728,7.87112
12,1002,982,1.19208,746,8.06574
order,998,953,1.15688,758,8.19548
start,997,977,1.18601,786,8.49822
great,996,975,1.18358,797,8.61715
et,995,781,0.94808,360,3.89231
govt,993,871,1.05733,610,6.59531
testing,988,857,1.04034,639,6.90886
nurse,987,830,1.00756,600,6.48719
across,982,969,1.1763,732,7.91437
record,981,888,1.07797,584,6.3142
lost,976,888,1.07797,697,7.53595
daily,974,922,1.11924,676,7.3089
available,972,922,1.11924,605,6.54125
transmission,970,900,1.09254,669,7.23321
point,952,898,1.09011,709,7.66569
eligible,949,875,1.06219,647,6.99535
2021,946,911,1.10589,664,7.17915
others,944,929,1.12774,757,8.18467
story,943,904,1.09739,666,7.20078
around,942,930,1.12896,719,7.77381
put,939,913,1.10832,729,7.88193
global,932,894,1.08525,668,7.2224
city,932,835,1.01363,616,6.66018
far,931,909,1.10346,712,7.69813
age,918,774,0.93958,596,6.44394
provincial,912,901,1.09375,661,7.14672
supply,911,862,1.04641,664,7.17915
issue,904,840,1.0197,655,7.08185
fact,903,874,1.06098,691,7.47108
isnt,901,875,1.06219,731,7.90356
friend,896,846,1.02699,680,7.35215
real,887,841,1.02092,668,7.2224
give,884,865,1.05005,707,7.64407
party,883,815,0.98935,646,6.98454
woman,882,756,0.91773,620,6.70343
old,882,781,0.94808,636,6.87642
high,874,816,0.99057,641,6.93048
find,870,867,1.05248,692,7.48189
reported,869,820,0.99542,600,6.48719
watch,868,853,1.03548,643,6.9521
2020,866,822,0.99785,625,6.75749
jason,863,825,1.00149,451,4.8762
official,858,842,1.02213,617,6.67099
mean,850,804,0.976,631,6.82236
highest,848,759,0.92137,557,6.02227
program,847,732,0.8886,546,5.90334
ever,846,803,0.97479,631,6.82236
conservative,843,775,0.9408,493,5.33031
emergency,842,797,0.9675,614,6.63856
scotia,841,778,0.94444,433,4.68159
third,840,835,1.01363,627,6.77911
ago,836,818,0.993,659,7.12509
paidsickdays,830,827,1.00392,474,5.12488
nothing,829,782,0.94929,587,6.34663
essential,829,782,0.94929,592,6.40069
problem,827,774,0.93958,628,6.78992
thanks,821,811,0.9845,654,7.07103
30,821,798,0.96872,628,6.78992
saying,820,806,0.97843,645,6.97373
pm,819,767,0.93109,586,6.33582
including,818,816,0.99057,642,6.94129
american,818,713,0.86553,511,5.52492
lot,817,786,0.95415,638,6.89804
population,816,725,0.8801,590,6.37907
justintrudeau,814,811,0.9845,510,5.51411
albertans,814,750,0.91045,433,4.68159
healthcare,813,776,0.94201,603,6.51962
use,812,788,0.95658,628,6.78992
100,810,763,0.92623,645,6.97373
staff,808,763,0.92623,601,6.498
already,808,799,0.96993,658,7.11428
social,804,788,0.95658,642,6.94129
clear,799,782,0.94929,661,7.14672
study,797,767,0.93109,585,6.32501
reporting,796,769,0.93351,529,5.71954
least,791,770,0.93473,621,6.71424
something,790,778,0.94444,614,6.63856
leadership,789,780,0.94687,541,5.84928
5,785,749,0.90923,616,6.66018
tested,783,738,0.89588,570,6.16283
cant,783,735,0.89224,611,6.60612
hard,782,761,0.9238,630,6.81155
adult,781,742,0.90074,564,6.09796
failure,779,753,0.91409,551,5.9574
police,778,724,0.87889,526,5.6871
bad,778,719,0.87282,571,6.17364
yesterday,767,749,0.90923,592,6.40069
actually,765,752,0.91288,607,6.56287
member,763,734,0.89103,609,6.5845
line,762,727,0.88253,592,6.40069
fight,760,741,0.89952,574,6.20608
youre,757,589,0.71501,519,5.61142
biden,757,705,0.85582,474,5.12488
sure,753,734,0.89103,606,6.55206
hour,744,681,0.82669,576,6.2277
past,743,696,0.8449,569,6.15202
away,742,716,0.86917,592,6.40069
group,740,710,0.86189,592,6.40069
someone,736,704,0.85461,583,6.30338
remember,735,725,0.8801,609,6.5845
centre,735,573,0.69558,413,4.46535
big,730,703,0.85339,565,6.10877
tomorrow,728,690,0.83761,514,5.55736
person,726,688,0.83518,568,6.1412
change,726,707,0.85825,590,6.37907
coming,725,720,0.87403,625,6.75749
hope,724,712,0.86432,599,6.47638
given,723,717,0.87039,619,6.69262
feel,723,689,0.8364,561,6.06552
thousand,720,701,0.85097,559,6.0439
policy,719,700,0.84975,558,6.03308
received,717,663,0.80484,532,5.75197
politician,716,654,0.79391,506,5.47086
free,711,670,0.81333,567,6.13039
doesnt,711,691,0.83883,576,6.2277
situation,704,696,0.8449,536,5.79522
region,703,651,0.79027,482,5.21137
early,703,678,0.82305,587,6.34663
china,703,616,0.74778,466,5.03838
trump,702,628,0.76235,465,5.02757
uk,698,651,0.79027,433,4.68159
making,698,683,0.82911,574,6.20608
trying,697,676,0.82062,528,5.70873
rule,697,672,0.81576,557,6.02227
despite,697,678,0.82305,540,5.83847
believe,694,656,0.79634,562,6.07633
possible,693,633,0.76842,546,5.90334
starting,690,684,0.83033,540,5.83847
service,689,664,0.80605,545,5.89253
hit,688,681,0.82669,547,5.91415
important,687,672,0.81576,554,5.98984
14,687,668,0.81091,537,5.80603
america,685,661,0.80241,500,5.40599
young,684,655,0.79512,557,6.02227
told,682,654,0.79391,530,5.73035
oxygen,682,603,0.732,414,4.47616
close,680,664,0.80605,559,6.0439
almost,678,640,0.77692,532,5.75197
workplace,676,567,0.6883,429,4.63834
johnson,675,382,0.46372,313,3.38415
thats,673,651,0.79027,535,5.78441
nation,673,648,0.78663,509,5.5033
liberal,669,640,0.77692,436,4.71402
outside,664,643,0.78056,534,5.7736
event,661,612,0.74293,505,5.46005
level,660,639,0.7757,537,5.80603
latest,659,654,0.79391,523,5.65467
worst,658,597,0.72472,467,5.04919
astrazeneca,656,640,0.77692,469,5.07082
team,653,602,0.73079,515,5.56817
freedom,652,597,0.72472,465,5.02757
follow,649,644,0.78177,525,5.67629
protection,648,590,0.71622,504,5.44924
friday,642,633,0.76842,474,5.12488
used,640,591,0.71743,490,5.29787
following,639,590,0.71622,492,5.31949
fighting,638,624,0.75749,317,3.4274
thread,633,624,0.75749,504,5.44924
ottawa,631,574,0.6968,367,3.968
control,627,607,0.73686,506,5.47086
seen,626,622,0.75507,525,5.67629
left,626,608,0.73807,499,5.39518
provide,625,614,0.74535,526,5.6871
28,624,610,0.7405,500,5.40599
lie,622,533,0.64703,425,4.59509
instead,619,598,0.72593,493,5.33031
drug,618,577,0.70044,329,3.55714
disease,617,589,0.71501,455,4.91945
die,615,564,0.68466,449,4.85458
blame,615,585,0.71015,474,5.12488
antilockdown,614,606,0.73564,448,4.84377
24,613,596,0.7235,482,5.21137
result,611,589,0.71501,502,5.42761
reason,611,590,0.71622,497,5.37355
ucp,610,583,0.70772,277,2.99492
20,610,592,0.71865,502,5.42761
protest,609,581,0.70529,407,4.40048
calgary,609,577,0.70044,399,4.31398
able,608,603,0.732,529,5.71954
taking,605,601,0.72957,519,5.61142
share,605,595,0.72229,504,5.44924
political,605,589,0.71501,463,5.00595
cbc,605,592,0.71865,405,4.37885
15,605,580,0.70408,477,5.15731
effective,603,579,0.70287,461,4.98432
word,601,584,0.70894,483,5.22219
single,601,586,0.71136,493,5.33031
national,599,588,0.71379,483,5.22219
information,598,582,0.70651,460,4.97351
together,594,567,0.6883,469,5.07082
pour,594,488,0.5924,234,2.53
online,594,564,0.68466,442,4.7789
action,593,567,0.6883,455,4.91945
6,593,573,0.69558,486,5.25462
1st,592,556,0.67495,468,5.06001
soon,591,587,0.71258,505,5.46005
morning,591,587,0.71258,487,5.26543
cost,590,529,0.64217,448,4.84377
among,590,483,0.58633,403,4.35723
might,589,582,0.70651,495,5.35193
likely,589,567,0.6883,490,5.29787
2nd,587,556,0.67495,456,4.93026
worse,586,571,0.69315,484,5.233
didnt,584,555,0.67373,465,5.02757
wait,580,563,0.68344,490,5.29787
international,578,545,0.66159,470,5.08163
moderna,577,572,0.69437,472,5.10325
act,575,531,0.6446,434,4.6924
post,574,545,0.66159,433,4.68159
delay,574,569,0.69073,497,5.37355
seeing,572,558,0.67737,504,5.44924
abhealth,572,566,0.68708,295,3.18953
50,572,531,0.6446,447,4.83295
w,571,522,0.63367,420,4.54103
north,571,556,0.67495,449,4.85458
13,571,544,0.66038,457,4.94107
un,569,475,0.57662,231,2.49757
spot,569,551,0.66888,436,4.71402
everything,567,559,0.67859,487,5.26543
face,562,548,0.66523,450,4.86539
set,559,554,0.67252,461,4.98432
evidence,559,529,0.64217,435,4.70321
hospitalization,558,543,0.65916,420,4.54103
thought,557,550,0.66766,481,5.20056
dying,557,541,0.65674,441,4.76808
asked,557,549,0.66645,452,4.88701
love,556,518,0.62882,451,4.8762
learn,555,553,0.6713,421,4.55184
needed,554,549,0.66645,486,5.25462
economy,552,527,0.63974,421,4.55184
check,552,524,0.6361,454,4.90864
officer,551,536,0.65067,452,4.88701
manitoba,551,511,0.62032,270,2.91923
plus,549,474,0.5754,321,3.47065
isolation,547,476,0.57783,383,4.14099
surge,546,535,0.64945,388,4.19505
low,546,529,0.64217,454,4.90864
yyc,545,544,0.66038,257,2.77868
recovery,545,540,0.65552,417,4.5086
mental,545,490,0.59483,401,4.3356
7,544,517,0.6276,404,4.36804
teacher,543,489,0.59361,386,4.17342
matter,543,538,0.65309,448,4.84377
zero,542,477,0.57905,380,4.10855
commission,542,522,0.63367,374,4.04368
rally,540,520,0.63124,431,4.65996
infected,539,499,0.60575,408,4.41129
company,538,507,0.61546,435,4.70321
higher,536,520,0.63124,440,4.75727
mother,535,489,0.59361,424,4.58428
critical,535,519,0.63003,389,4.20586
half,534,514,0.62396,445,4.81133
yes,530,513,0.62275,444,4.80052
hand,529,520,0.63124,455,4.91945
decision,529,504,0.61182,427,4.61672
living,526,509,0.61789,439,4.74646
talk,524,501,0.60818,423,4.57347
11,524,494,0.59968,424,4.58428
maybe,523,501,0.60818,426,4.6059
info,523,510,0.6191,384,4.1518
safety,522,502,0.60939,411,4.44372
little,522,506,0.61425,440,4.75727
symptom,521,472,0.57298,411,4.44372
small,519,499,0.60575,438,4.73565
fear,519,502,0.60939,391,4.22748
save,518,501,0.60818,412,4.45454
he,518,459,0.55719,395,4.27073
8,518,499,0.60575,428,4.62753
top,516,490,0.59483,413,4.46535
peel,516,450,0.54627,319,3.44902
source,515,510,0.6191,406,4.38966
effect,515,501,0.60818,430,4.64915
parent,514,476,0.57783,400,4.32479
man,514,497,0.60332,430,4.64915
immunity,514,446,0.54141,388,4.19505
fauci,514,445,0.5402,330,3.56795
tonight,513,502,0.60939,427,4.61672
student,510,462,0.56084,385,4.16261
indian,509,483,0.58633,358,3.87069
site,508,482,0.58511,384,4.1518
summer,507,457,0.55477,384,4.1518
weekend,506,499,0.60575,418,4.51941
lead,506,488,0.5924,405,4.37885
guy,503,484,0.58754,418,4.51941
impact,502,494,0.59968,434,4.6924
else,502,497,0.60332,416,4.49778
let,498,486,0.58997,409,4.4221
calling,498,492,0.59725,426,4.6059
president,497,470,0.57055,367,3.968
hotspot,494,471,0.57176,371,4.01124
concern,494,479,0.58147,390,4.21667
twitter,493,435,0.52806,383,4.14099
took,492,478,0.58026,428,4.62753
failed,491,461,0.55962,379,4.09774
video,490,466,0.56569,398,4.30317
bill,490,463,0.56205,405,4.37885
significant,488,485,0.58876,441,4.76808
money,488,456,0.55355,385,4.16261
late,488,454,0.55112,387,4.18424
contact,486,463,0.56205,372,4.02206
break,486,484,0.58754,409,4.4221
hot,485,467,0.56691,371,4.01124
turn,484,478,0.58026,396,4.28154
power,484,465,0.56448,408,4.41129
healthy,483,463,0.56205,397,4.29236
employee,483,450,0.54627,389,4.20586
physician,482,453,0.54991,365,3.94637
alone,482,467,0.56691,407,4.40048
human,481,471,0.57176,409,4.4221
announced,481,478,0.58026,392,4.2383
entire,480,477,0.57905,418,4.51941
wrong,478,442,0.53656,380,4.10855
four,478,442,0.53656,382,4.13018
effort,478,458,0.55598,381,4.11936
march,477,457,0.55477,391,4.22748
quebec,476,453,0.54991,327,3.53552
mass,475,466,0.56569,413,4.46535
increase,474,458,0.55598,393,4.24911
dead,474,458,0.55598,371,4.01124
anything,474,470,0.57055,395,4.27073
count,473,455,0.55234,383,4.14099
access,473,462,0.56084,390,4.21667
ab,473,439,0.53292,296,3.20035
longer,470,461,0.55962,394,4.25992
facility,470,431,0.5232,359,3.8815
yeg,466,466,0.56569,244,2.63812
within,465,449,0.54506,397,4.29236
join,464,454,0.55112,378,4.08693
benefit,464,428,0.51956,363,3.92475
address,463,459,0.55719,369,3.98962
25,462,455,0.55234,379,4.09774
flight,460,397,0.48193,310,3.35171
au,460,394,0.47829,193,2.08671
normal,457,437,0.53049,372,4.02206
theyre,456,428,0.51956,367,3.968
ndp,455,394,0.47829,296,3.20035
local,455,430,0.52199,359,3.8815
wont,453,436,0.52927,372,4.02206
went,453,442,0.53656,392,4.2383
happening,453,435,0.52806,384,4.1518
du,453,374,0.45401,174,1.88128
serious,452,446,0.54141,389,4.20586
found,452,446,0.54141,388,4.19505
est,452,389,0.47222,206,2.22727
lack,450,431,0.5232,361,3.90312
area,450,418,0.50742,344,3.71932
looking,449,448,0.54384,405,4.37885
cause,448,433,0.52563,355,3.83825
called,448,429,0.52078,382,4.13018
according,448,447,0.54263,377,4.07612
happened,447,433,0.52563,372,4.02206
currently,447,412,0.50014,360,3.89231
son,446,374,0.45401,329,3.55714
here,445,444,0.53899,361,3.90312
wuhan,443,396,0.48072,266,2.87599
visit,442,438,0.5317,343,3.70851
positivity,442,420,0.50985,346,3.74094
there,441,435,0.52806,384,4.1518
tax,441,379,0.46008,320,3.45983
quarantine,441,420,0.50985,337,3.64364
major,441,422,0.51228,370,4.00043
folk,441,430,0.52199,389,4.20586
relief,439,431,0.5232,352,3.80582
date,439,428,0.51956,350,3.78419
bed,438,399,0.48436,327,3.53552
ask,438,414,0.50257,358,3.87069
flu,437,380,0.46129,323,3.49227
wearing,436,396,0.48072,352,3.80582
body,436,409,0.4965,352,3.80582
admitted,436,402,0.488,378,4.08693
become,435,421,0.51106,368,3.97881
research,433,395,0.4795,319,3.44902
exposure,432,421,0.51106,301,3.25441
answer,432,421,0.51106,383,4.14099
ill,431,417,0.50621,358,3.87069
chief,431,430,0.52199,351,3.795
always,429,419,0.50864,381,4.11936
zone,426,276,0.33504,228,2.46513
hundred,426,422,0.51228,371,4.01124
continues,426,425,0.51592,370,4.00043
montreal,425,380,0.46129,273,2.95167
fine,423,406,0.49286,338,3.65445
strategy,422,380,0.46129,301,3.25441
prime,420,418,0.50742,346,3.74094
move,420,420,0.50985,381,4.11936
massive,419,418,0.50742,357,3.85988
16,419,413,0.50135,351,3.795
term,417,388,0.47101,319,3.44902
allow,417,410,0.49771,367,3.968
seems,414,409,0.4965,349,3.77338
idea,414,401,0.48679,352,3.80582
passport,413,395,0.4795,290,3.13547
false,413,307,0.37268,251,2.71381
citizen,411,401,0.48679,335,3.62201
related,410,394,0.47829,331,3.57877
office,410,401,0.48679,350,3.78419
especially,410,410,0.49771,368,3.97881
using,409,405,0.49164,364,3.93556
step,409,390,0.47343,336,3.63283
rest,409,408,0.49528,371,4.01124
law,409,388,0.47101,312,3.37334
started,408,402,0.488,358,3.87069
run,408,391,0.47465,344,3.71932
list,408,389,0.47222,348,3.76257
fed,408,385,0.46736,325,3.51389
9,408,393,0.47707,348,3.76257
saturday,407,406,0.49286,329,3.55714
80,407,368,0.44673,311,3.36253
message,406,400,0.48557,345,3.73013
nearly,405,402,0.488,344,3.71932
course,404,403,0.48921,355,3.83825
tweet,403,399,0.48436,342,3.6977
pharmacy,403,365,0.44308,314,3.39496
advice,402,395,0.4795,330,3.56795
stand,400,395,0.4795,344,3.71932
current,400,398,0.48314,346,3.74094
huge,399,396,0.48072,356,3.84906
administered,399,387,0.46979,294,3.17872
shopper,398,386,0.46858,163,1.76235
cycle,398,256,0.31077,209,2.2597
charge,397,389,0.47222,338,3.65445
billion,397,370,0.44915,329,3.55714
near,396,367,0.44551,303,3.27603
general,395,387,0.46979,324,3.50308
code,395,366,0.4443,294,3.17872
night,393,377,0.45765,342,3.6977
gov,393,371,0.45037,284,3.0706
heart,392,371,0.45037,326,3.52471
short,391,386,0.46858,346,3.74094
pregnant,391,308,0.37389,268,2.89761
confirmed,391,383,0.46494,321,3.47065
receive,390,370,0.44915,306,3.30847
ontarians,390,378,0.45887,300,3.24359
different,390,381,0.46251,341,3.68689
shut,389,381,0.46251,339,3.66526
florida,389,358,0.43459,300,3.24359
deadly,389,376,0.45644,318,3.43821
29,388,365,0.44308,298,3.22197
sign,387,377,0.45765,342,3.6977
bring,387,368,0.44673,333,3.60039
ahead,387,373,0.4528,337,3.64364
talking,385,377,0.45765,339,3.66526
election,384,359,0.4358,305,3.29765
economic,383,371,0.45037,286,3.09223
az,383,345,0.41881,256,2.76787
justin,382,372,0.45158,309,3.3409
pretty,381,379,0.46008,329,3.55714
responsibility,380,364,0.44187,282,3.04898
hear,380,371,0.45037,319,3.44902
vulnerable,379,373,0.4528,327,3.53552
scientist,379,371,0.45037,306,3.30847
postal,379,356,0.43216,276,2.98411
later,379,366,0.4443,310,3.35171
rodeo,378,365,0.44308,281,3.03817
whole,377,372,0.45158,333,3.60039
personal,377,367,0.44551,330,3.56795
house,377,365,0.44308,333,3.60039
air,375,328,0.39817,282,3.04898
3rd,375,372,0.45158,329,3.55714
stigma,374,330,0.4006,17,0.1838
claim,373,359,0.4358,307,3.31928
detail,372,365,0.44308,317,3.4274
chance,372,331,0.40181,299,3.23278
17,371,370,0.44915,319,3.44902
though,370,370,0.44915,329,3.55714
happy,370,356,0.43216,326,3.52471
finally,370,359,0.4358,324,3.50308
play,369,357,0.43337,331,3.57877
loved,369,356,0.43216,307,3.31928
condition,369,363,0.44066,326,3.52471
happen,367,361,0.43823,322,3.48146
allowed,367,360,0.43702,300,3.24359
communication,366,364,0.44187,340,3.67607
average,366,357,0.43337,270,2.91923
challenge,365,363,0.44066,319,3.44902
rapid,364,320,0.38846,256,2.76787
protocol,364,354,0.42973,258,2.78949
ont,364,350,0.42488,261,2.82193
giving,363,363,0.44066,333,3.60039
deal,363,355,0.43095,321,3.47065
charged,363,345,0.41881,296,3.20035
mom,362,327,0.39696,292,3.1571
distancing,361,360,0.43702,316,3.41659
comment,361,348,0.42245,307,3.31928
absolutely,361,357,0.43337,293,3.16791
attack,360,341,0.41395,295,3.18953
required,359,341,0.41395,269,2.90842
eligibility,359,334,0.40545,234,2.53
celliottability,359,353,0.42852,233,2.51919
statement,358,349,0.42366,297,3.21116
article,358,352,0.4273,269,2.90842
illness,357,355,0.43095,307,3.31928
caused,357,339,0.41152,312,3.37334
capacity,357,351,0.42609,304,3.28684
offer,356,353,0.42852,318,3.43821
education,356,325,0.39453,264,2.85436
alert,356,322,0.39089,249,2.69218
seriously,355,348,0.42245,308,3.33009
nursing,355,326,0.39574,267,2.8868
listen,355,346,0.42002,310,3.35171
popup,354,346,0.42002,233,2.51919
paidsickleave,354,349,0.42366,268,2.89761
history,353,346,0.42002,308,3.33009
gone,353,348,0.42245,312,3.37334
waiting,352,337,0.40909,302,3.26522
