Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,make,2377,2216,2.69007,1492,16.13147
1,way,1677,1626,1.97385,1179,12.74732
1,going,1788,1702,2.06611,1159,12.53108
1,better,1145,1109,1.34625,816,8.82258
1,time,4007,3719,4.51461,2114,22.85653
1,vaccine,13331,11089,13.46128,3884,41.99373
1,said,1853,1741,2.11345,1133,12.24997
1,look,1233,1196,1.45186,931,10.06595
1,world,1826,1760,2.13652,1180,12.75814
1,people,9648,8590,10.42767,3400,36.76073
1,month,2065,1948,2.36474,1318,14.25019
1,mean,850,804,0.976,631,6.82236
1,hard,782,761,0.9238,630,6.81155
1,hope,724,712,0.86432,599,6.47638
1,getting,1717,1664,2.01998,1159,12.53108
2,case,8330,6504,7.89541,2529,27.3435
2,new,6348,5533,6.71668,2475,26.75965
2,number,2132,1968,2.38902,1288,13.92583
2,rate,1680,1532,1.85974,1010,10.9201
2,death,4211,3612,4.38472,1839,19.88323
2,active,1165,1044,1.26734,659,7.12509
2,record,981,888,1.07797,584,6.3142
2,highest,848,759,0.92137,557,6.02227
2,daily,974,922,1.11924,676,7.3089
2,alberta,3948,3645,4.42478,1297,14.02314
2,reported,869,820,0.99542,600,6.48719
2,total,1037,928,1.12653,646,6.98454
2,today,4415,4161,5.05117,2127,22.99708
2,province,3004,2833,3.43907,1508,16.30447
2,high,874,816,0.99057,641,6.93048
3,pandemic,12591,12179,14.78447,4304,46.53476
3,day,6779,5389,6.54187,2600,28.11115
3,ford,2572,2330,2.82846,1026,11.09309
3,bad,778,719,0.87282,571,6.17364
3,government,4578,4270,5.18349,2027,21.91588
3,govt,993,871,1.05733,610,6.59531
3,action,593,567,0.6883,455,4.91945
3,guy,503,484,0.58754,418,4.51941
3,plan,1598,1457,1.7687,980,10.59574
3,conservative,843,775,0.9408,493,5.33031
3,money,488,456,0.55355,385,4.16261
3,want,2203,2018,2.44971,1351,14.60698
3,sick,3079,2698,3.27519,1465,15.83955
3,fordnation,1892,1870,2.27005,929,10.04433
3,cost,590,529,0.64217,448,4.84377
4,vaccinated,3542,3051,3.7037,1896,20.49951
