Topic Number,Compound (Mean),Compound (Std Dev),Positive (Mean),Positive (Std Dev),Negative (Mean),Negative (Std Dev),Neutral (Mean),Neutral (Std Dev)
1,-0.15488,0.44739,0.06169,0.09195,0.11461,0.12488,0.82369,0.14226
2,-0.01286,0.3646,0.05192,0.07652,0.05427,0.08618,0.89381,0.10899
3,0.04352,0.47263,0.09395,0.11059,0.07719,0.10172,0.82886,0.1319
4,-0.00116,0.40314,0.06784,0.09829,0.06816,0.09789,0.86401,0.12898
5,0.07056,0.35876,0.06169,0.08972,0.04139,0.07601,0.89691,0.11162
