Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,trump,48247,41426,4974
1,american,16864,15588,3637
1,president,13500,12569,3326
1,rally,19329,17378,3886
1,pandemic,53033,51807,9509
1,people,41495,36457,8019
1,realdonaldtrump,8354,8173,2399
1,testing,14330,12583,3792
1,said,10388,9451,3643
1,say,19574,18170,5453
1,america,5495,5227,2365
1,going,10978,10470,4449
1,want,10258,9488,4241
1,protest,5740,5215,2559
1,life,11432,10844,4482
2,case,43236,34026,6291
2,new,33163,28042,6677
2,death,21711,17615,5105
2,state,16495,14757,3998
2,day,20023,17598,5759
2,florida,8318,7455,2342
2,number,11679,10926,4060
2,report,7603,7313,3269
2,record,6139,5561,2501
2,reported,5883,5327,2418
2,daily,4893,4690,2314
2,week,12753,11937,4880
2,infection,5083,4875,2300
2,total,5467,4813,2286
2,hospital,7744,6894,3280
3,pandemic,53033,51807,9509
3,need,14649,13852,5450
3,time,15597,14698,5915
3,work,9440,8853,4496
3,government,11115,10517,4367
3,year,9191,8377,4321
3,canadian,9510,8759,3559
3,people,41495,36457,8019
3,care,11776,10665,4258
3,help,9886,9235,4180
3,canada,13957,12920,4743
3,good,7138,6842,3703
3,know,11892,10979,4687
3,home,13169,12131,4946
3,health,19911,18398,5557
4,mask,24118,20568,5660
4,social,11155,10701,4893
4,distancing,9697,9500,4490
4,wear,8121,7530,3211
4,spread,8704,8390,3865
4,wearing,5842,5614,2796
4,people,41495,36457,8019
4,rally,19329,17378,3886
4,face,5581,5265,2842
4,hand,3821,3603,2306
4,sign,3412,3309,1949
4,real,3630,3495,2303
4,tulsa,9982,9346,2678
4,risk,7446,7032,3321
4,love,2380,2050,1610
5,tested,8309,7294,3248
5,positive,10556,10074,3801
5,ontario,9203,8580,2923
5,update,6439,6200,2481
5,worker,11097,9756,3835
5,le,8412,6605,2766
5,test,10021,8807,3674
5,minister,4461,4000,1925
5,canada,13957,12920,4743
5,member,3882,3710,2266
5,onpoli,3876,3873,1445
5,toronto,4221,3933,1846
5,live,4592,4455,2356
5,ford,3166,2902,1251
5,trudeau,5593,5024,1995
