Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,9840,8.34337,4865,34.59433
2,6596,5.59277,3272,23.26673
3,8663,7.34538,4826,34.317
4,7491,6.35164,3012,21.41791
5,6335,5.37147,2925,20.79926
6,6616,5.60973,3962,28.17322
7,5144,4.36161,3172,22.55564
8,5284,4.48032,3023,21.49612
9,6342,5.3774,3651,25.96174
10,4682,3.96988,2855,20.3015
11,5974,5.06537,3612,25.68442
12,4729,4.00973,2964,21.07658
13,4476,3.79521,2657,18.89355
14,5195,4.40486,2895,20.58593
15,5912,5.0128,3187,22.66231
16,4102,3.4781,2796,19.88196
17,5350,4.53628,3123,22.20721
18,4757,4.03348,2804,19.93885
19,4200,3.56119,1841,13.09109
20,6250,5.29939,3548,25.22933
