Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,crisis,3567,3446,2379
1,job,2101,1949,1572
1,pandemic,14499,14048,5901
1,read,1762,1728,1439
1,government,4938,4617,2884
1,question,1887,1742,1419
1,canadian,4565,4214,2510
1,sure,1078,1057,940
1,action,1087,1021,877
1,pay,1300,1204,1012
1,leader,1462,1425,1207
1,leadership,870,847,752
1,make,3644,3455,2481
1,answer,819,789,700
1,economic,896,863,764
2,case,7561,5557,3127
2,death,7953,6264,3321
2,new,7662,6606,3673
2,number,3102,2848,2077
2,total,1690,1448,1103
2,april,1730,1591,1235
2,confirmed,1320,1191,942
2,day,5408,4782,3081
2,report,2090,2015,1479
2,ontario,2221,2069,1397
2,reported,1152,1084,875
2,march,1110,1001,872
2,million,3110,2724,1955
2,breaking,1992,1990,1504
2,province,1345,1282,1041
3,home,6187,5618,3596
3,stay,4167,3641,2660
3,family,2705,2507,1947
3,safe,1567,1497,1269
3,stayhome,1240,1220,1000
3,important,1273,1249,1059
3,easter,1092,920,828
3,community,1989,1886,1486
3,help,4327,3996,2788
3,work,3464,3216,2396
3,support,2365,2183,1717
3,message,815,792,714
3,time,6331,5949,3727
3,fordnation,748,726,547
3,kid,746,668,616
4,china,12208,10115,3719
4,chinese,2259,2025,1275
4,wuhan,1542,1401,1006
4,trudeau,3902,3529,1766
4,justintrudeau,1423,1386,1032
4,party,1124,1069,885
4,canada,7285,6594,3613
4,communist,833,804,568
4,border,904,815,704
4,canadian,4565,4214,2510
4,world,4405,4123,2682
4,trust,684,632,571
4,flight,869,766,637
4,taiwan,630,531,401
4,virus,5417,4980,3045
5,trump,14640,12222,3642
5,china,12208,10115,3719
5,lie,1250,1117,921
5,fact,1504,1456,1202
5,travel,1213,1094,932
5,president,4091,3747,2085
5,called,1028,976,824
5,true,804,751,692
5,knew,781,709,613
5,medium,2564,2334,1649
5,threat,1031,994,814
5,blame,818,691,604
5,saying,1169,1135,942
5,ban,769,705,622
5,biden,733,642,509
6,really,1672,1586,1327
6,thing,2356,2256,1771
6,people,11729,10369,5039
6,lot,1192,1165,1027
6,going,3019,2840,2058
6,hope,1161,1126,989
6,man,1202,1152,982
6,pandemic,14499,14048,5901
6,look,1880,1836,1521
6,guy,732,705,647
6,best,1385,1338,1172
6,feel,735,699,642
6,fear,703,679,608
6,got,1530,1458,1231
6,church,578,501,438
7,social,3281,3157,2381
7,distancing,2935,2846,2200
7,cdnpoli,4237,4225,2020
7,trudeau,3902,3529,1766
7,canadian,4565,4214,2510
7,hydroxychloroquine,1234,1190,902
7,drug,1294,1191,973
7,medium,2564,2334,1649
7,pm,1459,1359,1099
7,treatment,1062,999,861
7,hand,1377,1240,1072
7,measure,1348,1291,1100
7,premier,1128,1068,864
7,rule,808,772,702
7,ottawa,817,745,565
8,people,11729,10369,5039
8,died,2160,2024,1470
8,american,4299,3931,2168
8,die,1549,1459,1140
8,getting,1541,1446,1225
8,thousand,1370,1295,1043
8,dying,957,878,738
8,sick,926,864,758
8,person,982,914,811
8,iran,839,693,337
8,kill,734,708,622
8,truth,862,837,704
8,infected,855,826,674
8,black,744,630,547
8,dead,915,863,729
9,care,3920,3574,2463
9,worker,3847,3427,2410
9,health,7853,7055,4051
9,doctor,2713,2565,1899
9,hospital,3188,2938,2079
9,patient,2781,2505,1842
9,healthcare,1449,1347,1103
9,line,1324,1289,1124
9,nurse,1178,1067,901
9,staff,1104,1045,908
9,fight,1928,1878,1543
9,public,3417,3200,2329
9,working,2018,1971,1640
9,medical,2858,2731,2005
9,fighting,849,835,623
10,death,7953,6264,3321
10,minister,2203,2092,1515
10,official,2180,2089,1527
10,data,1537,1374,1133
10,model,1109,882,751
10,health,7853,7055,4051
10,prime,929,918,783
10,uk,1044,950,708
10,cause,714,694,614
10,far,1230,1198,1015
10,projection,553,527,480
10,johnson,506,465,419
10,number,3102,2848,2077
10,release,602,585,532
10,boris,457,432,390
11,mask,5063,4113,2731
11,supply,2149,1949,1533
11,face,1759,1676,1372
11,medical,2858,2731,2005
11,n95,1309,1252,1069
11,company,1403,1326,1125
11,ppe,1311,1214,1032
11,ventilator,1240,1094,910
11,use,1753,1637,1359
11,equipment,966,939,829
11,needed,850,835,765
11,wear,668,601,531
11,canada,7285,6594,3613
11,wearing,595,558,508
11,protective,609,595,541
12,say,6993,6482,3607
12,dr,2898,2708,1963
12,pandemic,14499,14048,5901
12,fauci,1552,1360,982
12,expert,1493,1413,1147
12,coming,1389,1334,1129
12,amid,1059,1055,868
12,listen,727,690,629
12,warning,1099,1059,841
12,mayor,553,529,479
12,prepared,464,447,420
12,military,532,508,457
12,outbreak,2607,2530,1842
12,kenney,487,458,344
12,advice,741,708,653
13,canada,7285,6594,3613
13,trump,14640,12222,3642
13,pandemic,14499,14048,5901
13,global,2084,1965,1555
13,response,3450,3374,2304
13,administration,1310,1247,902
13,health,7853,7055,4051
13,public,3417,3200,2329
13,organization,918,886,769
13,failure,883,838,702
13,obama,843,754,627
13,world,4405,4123,2682
13,nation,1395,1316,1069
13,middle,632,629,570
13,failed,619,569,522
14,week,4086,3609,2525
14,test,3368,2857,2080
14,testing,2451,2136,1561
14,positive,2062,1934,1488
14,tested,1807,1623,1288
14,ago,1499,1259,1048
14,result,942,912,822
14,symptom,937,880,759
14,wait,484,473,441
14,navy,523,469,392
14,10,1166,1120,897
14,trial,464,444,402
14,captain,479,447,380
14,ship,566,510,442
14,site,488,437,407
15,need,6639,6023,3707
15,know,3942,3678,2588
15,want,3406,3176,2302
15,right,3633,3390,2390
15,business,1818,1655,1348
15,vote,1109,922,717
15,plan,1183,1102,954
15,help,4327,3996,2788
15,america,2020,1898,1318
15,think,2632,2509,1924
15,possible,881,852,779
15,doesnt,860,841,766
15,country,4899,4612,2931
15,relief,814,797,695
15,small,827,783,708
16,new,7662,6606,3673
16,city,1789,1638,1284
16,york,1333,1266,973
16,real,1154,1108,979
16,program,674,629,582
16,time,6331,5949,3727
16,mass,596,573,516
16,set,578,563,511
16,ny,473,430,378
16,cuomo,413,372,327
16,help,4327,3996,2788
16,torontostar,300,296,229
16,created,391,382,365
16,opinion,315,310,282
16,europe,418,405,361
17,realdonaldtrump,3090,3043,1776
17,today,3990,3795,2688
17,great,1775,1710,1421
17,house,1856,1787,1347
17,white,1330,1268,945
17,president,4091,3747,2085
17,cnn,1134,1024,794
17,briefing,1479,1382,1030
17,thank,2059,1968,1589
17,love,893,859,766
17,press,1172,1131,896
17,god,781,726,634
17,tweet,680,621,545
17,story,1480,1421,1166
17,post,856,829,742
18,state,4084,3691,2237
18,order,2114,2007,1532
18,watch,1694,1624,1292
18,federal,1884,1764,1360
18,live,1615,1563,1234
18,update,1688,1601,1195
18,governor,1183,1129,848
18,united,1114,1077,897
18,government,4938,4617,2884
18,force,1050,1007,834
18,drtedros,462,440,226
18,stayathome,810,803,637
18,check,840,827,735
18,issue,918,896,800
18,youtube,529,514,375
19,news,3597,3402,2300
19,good,2866,2752,2155
19,le,2392,1851,1129
19,et,1270,1031,557
19,fox,834,759,598
19,cbc,800,748,609
19,wow,480,458,422
19,pour,934,771,398
19,du,796,668,337
19,au,661,563,300
19,est,745,660,359
19,plus,575,536,390
19,une,519,464,274
19,fake,705,642,551
19,sur,512,438,267
20,lockdown,2751,2631,1732
20,virus,5417,4980,3045
20,world,4405,4123,2682
20,come,1874,1803,1430
