Normalized Token,Total Number of Occurences,Document Frequency,User Frequency
trump,14640,12222,3642
pandemic,14499,14048,5901
china,12208,10115,3719
people,11729,10369,5039
u,10868,9622,4647
death,7953,6264,3321
health,7853,7055,4051
new,7662,6606,3673
case,7561,5557,3127
canada,7285,6594,3613
say,6993,6482,3607
one,6694,6217,3749
need,6639,6023,3707
de,6354,2992,914
time,6331,5949,3727
home,6187,5618,3596
get,5716,5305,3398
virus,5417,4980,3045
day,5408,4782,3081
mask,5063,4113,2731
government,4938,4617,2884
country,4899,4612,2931
canadian,4565,4214,2510
world,4405,4123,2682
help,4327,3996,2788
would,4303,3930,2586
american,4299,3931,2168
cdnpoli,4237,4225,2020
stay,4167,3641,2660
president,4091,3747,2085
week,4086,3609,2525
state,4084,3691,2237
today,3990,3795,2688
know,3942,3678,2588
care,3920,3574,2463
life,3905,3720,2517
trudeau,3902,3529,1766
worker,3847,3427,2410
make,3644,3455,2481
right,3633,3390,2390
news,3597,3402,2300
said,3572,3361,2287
crisis,3567,3446,2379
many,3538,3314,2382
work,3464,3216,2396
response,3450,3374,2304
public,3417,3200,2329
want,3406,3176,2302
test,3368,2857,2080
could,3325,3120,2225
social,3281,3157,2381
go,3277,3090,2309
via,3196,3186,2009
hospital,3188,2938,2079
take,3144,2995,2197
million,3110,2724,1955
number,3102,2848,2077
realdonaldtrump,3090,3043,1776
even,3031,2955,2138
going,3019,2840,2058
first,2938,2781,2056
distancing,2935,2846,2200
dr,2898,2708,1963
good,2866,2752,2155
spread,2862,2779,2060
medical,2858,2731,2005
still,2851,2703,2046
see,2788,2662,2018
patient,2781,2505,1842
lockdown,2751,2631,1732
year,2734,2527,1923
doctor,2713,2565,1899
family,2705,2507,1947
back,2680,2562,1939
every,2637,2463,1867
think,2632,2509,1924
way,2616,2520,1963
outbreak,2607,2530,1842
2,2595,2403,1816
medium,2564,2334,1649
please,2525,2384,1864
keep,2492,2399,1935
testing,2451,2136,1561
1,2426,2261,1740
must,2406,2247,1678
le,2392,1851,1129
stop,2386,2269,1808
support,2365,2183,1717
thing,2356,2256,1771
month,2339,2233,1707
also,2315,2265,1799
chinese,2259,2025,1275
may,2241,2095,1650
last,2240,2179,1679
ontario,2221,2069,1397
well,2215,2106,1726
minister,2203,2092,1515
official,2180,2089,1527
died,2160,2024,1470
supply,2149,1949,1533
order,2114,2007,1532
job,2101,1949,1572
report,2090,2015,1479
global,2084,1965,1555
positive,2062,1934,1488
thank,2059,1968,1589
everyone,2048,1954,1624
call,2039,1964,1581
much,2036,1952,1602
america,2020,1898,1318
working,2018,1971,1640
show,1995,1921,1553
breaking,1992,1990,1504
community,1989,1886,1486
two,1983,1871,1502
un,1947,1650,1028
fight,1928,1878,1543
never,1924,1816,1458
question,1887,1742,1419
federal,1884,1764,1360
look,1880,1836,1521
come,1874,1803,1430
house,1856,1787,1347
made,1840,1737,1436
business,1818,1655,1348
tested,1807,1623,1288
city,1789,1638,1284
emergency,1776,1711,1394
great,1775,1710,1421
read,1762,1728,1439
face,1759,1676,1372
use,1753,1637,1359
economy,1743,1644,1253
april,1730,1591,1235
watch,1694,1624,1292
total,1690,1448,1103
update,1688,1601,1195
really,1672,1586,1327
3,1663,1582,1289
service,1656,1561,1283
due,1627,1589,1311
live,1615,1563,1234
national,1588,1554,1238
put,1573,1540,1297
safe,1567,1497,1269
fauci,1552,1360,982
die,1549,1459,1140
another,1543,1497,1252
wuhan,1542,1401,1006
getting,1541,1446,1225
data,1537,1374,1133
risk,1533,1455,1233
got,1530,1458,1231
tell,1529,1485,1219
told,1517,1470,1192
give,1513,1470,1269
end,1508,1441,1202
fact,1504,1456,1202
ago,1499,1259,1048
expert,1493,1413,1147
anyone,1490,1436,1182
together,1484,1428,1185
story,1480,1421,1166
briefing,1479,1382,1030
without,1465,1431,1203
leader,1462,1425,1207
pm,1459,1359,1099
around,1454,1439,1239
next,1450,1424,1189
healthcare,1449,1347,1103
part,1443,1408,1207
