Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,crisis,3567,3446,2.92187,2379,16.91673
1,job,2101,1949,1.65256,1572,11.17827
1,pandemic,14499,14048,11.91134,5901,41.96117
1,read,1762,1728,1.46518,1439,10.23253
1,government,4938,4617,3.91477,2884,20.50772
1,question,1887,1742,1.47705,1419,10.09031
1,canadian,4565,4214,3.57306,2510,17.84825
1,sure,1078,1057,0.89623,940,6.68421
1,action,1087,1021,0.86571,877,6.23622
1,pay,1300,1204,1.02088,1012,7.19619
1,leader,1462,1425,1.20826,1207,8.58281
1,leadership,870,847,0.71817,752,5.34737
1,make,3644,3455,2.92951,2481,17.64204
1,answer,819,789,0.669,700,4.9776
1,economic,896,863,0.73174,764,5.4327
2,case,7561,5557,4.7118,3127,22.23565
2,death,7953,6264,5.31127,3321,23.61516
2,new,7662,6606,5.60125,3673,26.11818
2,number,3102,2848,2.41483,2077,14.76925
2,total,1690,1448,1.22776,1103,7.84328
2,april,1730,1591,1.34901,1235,8.78191
2,confirmed,1320,1191,1.00985,942,6.69843
2,day,5408,4782,4.05467,3081,21.90855
2,report,2090,2015,1.70852,1479,10.51696
2,ontario,2221,2069,1.75431,1397,9.93387
2,reported,1152,1084,0.91913,875,6.222
2,march,1110,1001,0.84875,872,6.20067
2,million,3110,2724,2.30969,1955,13.90173
2,breaking,1992,1990,1.68733,1504,10.69473
2,province,1345,1282,1.08701,1041,7.4024
3,home,6187,5618,4.76352,3596,25.57065
3,stay,4167,3641,3.08722,2660,18.91488
3,family,2705,2507,2.12569,1947,13.84484
3,safe,1567,1497,1.26931,1269,9.02368
3,stayhome,1240,1220,1.03444,1000,7.11086
3,important,1273,1249,1.05903,1059,7.5304
3,easter,1092,920,0.78007,828,5.88779
3,community,1989,1886,1.59915,1486,10.56674
3,help,4327,3996,3.38822,2788,19.82507
3,work,3464,3216,2.72686,2396,17.03762
3,support,2365,2183,1.85097,1717,12.20934
3,message,815,792,0.67154,714,5.07715
3,time,6331,5949,5.04418,3727,26.50217
3,fordnation,748,726,0.61558,547,3.88964
3,kid,746,668,0.5664,616,4.38029
4,china,12208,10115,8.57654,3719,26.44528
4,chinese,2259,2025,1.717,1275,9.06634
4,wuhan,1542,1401,1.18791,1006,7.15352
4,trudeau,3902,3529,2.99225,1766,12.55778
4,justintrudeau,1423,1386,1.17519,1032,7.33841
4,party,1124,1069,0.90641,885,6.29311
4,canada,7285,6594,5.59107,3613,25.69153
4,communist,833,804,0.68171,568,4.03897
4,border,904,815,0.69104,704,5.00604
4,canadian,4565,4214,3.57306,2510,17.84825
4,world,4405,4123,3.4959,2682,19.07132
4,trust,684,632,0.53587,571,4.0603
4,flight,869,766,0.64949,637,4.52962
4,taiwan,630,531,0.45024,401,2.85145
4,virus,5417,4980,4.22256,3045,21.65256
5,trump,14640,12222,10.36307,3642,25.89775
5,china,12208,10115,8.57654,3719,26.44528
5,lie,1250,1117,0.94711,921,6.5491
5,fact,1504,1456,1.23455,1202,8.54725
