Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
trump,14640,12222,10.36307,3642,25.89775
pandemic,14499,14048,11.91134,5901,41.96117
china,12208,10115,8.57654,3719,26.44528
people,11729,10369,8.79191,5039,35.83161
death,7953,6264,5.31127,3321,23.61516
health,7853,7055,5.98196,4051,28.80609
new,7662,6606,5.60125,3673,26.11818
case,7561,5557,4.7118,3127,22.23565
canada,7285,6594,5.59107,3613,25.69153
say,6993,6482,5.49611,3607,25.64887
one,6694,6217,5.27141,3749,26.65861
need,6639,6023,5.10692,3707,26.35995
de,6354,2992,2.53693,914,6.49932
time,6331,5949,5.04418,3727,26.50217
home,6187,5618,4.76352,3596,25.57065
US,5996,5389,4.56935,2890,20.55038
get,5716,5305,4.49813,3398,24.1627
virus,5417,4980,4.22256,3045,21.65256
day,5408,4782,4.05467,3081,21.90855
mask,5063,4113,3.48743,2731,19.41975
government,4938,4617,3.91477,2884,20.50772
country,4899,4612,3.91053,2931,20.84193
u,4872,4357,3.69431,2968,21.10503
canadian,4565,4214,3.57306,2510,17.84825
world,4405,4123,3.4959,2682,19.07132
help,4327,3996,3.38822,2788,19.82507
would,4303,3930,3.33226,2586,18.38868
american,4299,3931,3.33311,2168,15.41634
cdnpoli,4237,4225,3.58239,2020,14.36393
stay,4167,3641,3.08722,2660,18.91488
president,4091,3747,3.17709,2085,14.82614
week,4086,3609,3.06008,2525,17.95492
state,4084,3691,3.12961,2237,15.90699
today,3990,3795,3.21779,2688,19.11399
know,3942,3678,3.11859,2588,18.4029
care,3920,3574,3.03041,2463,17.51404
life,3905,3720,3.1542,2517,17.89803
trudeau,3902,3529,2.99225,1766,12.55778
worker,3847,3427,2.90576,2410,17.13717
make,3644,3455,2.92951,2481,17.64204
right,3633,3390,2.87439,2390,16.99495
news,3597,3402,2.88457,2300,16.35497
said,3572,3361,2.8498,2287,16.26253
crisis,3567,3446,2.92187,2379,16.91673
many,3538,3314,2.80995,2382,16.93806
work,3464,3216,2.72686,2396,17.03762
response,3450,3374,2.86083,2304,16.38342
public,3417,3200,2.71329,2329,16.56119
want,3406,3176,2.69294,2302,16.3692
test,3368,2857,2.42246,2080,14.79059
could,3325,3120,2.64546,2225,15.82166
social,3281,3157,2.67683,2381,16.93095
go,3277,3090,2.62002,2309,16.41897
via,3196,3186,2.70142,2009,14.28571
hospital,3188,2938,2.49114,2079,14.78347
take,3144,2995,2.53947,2197,15.62256
million,3110,2724,2.30969,1955,13.90173
number,3102,2848,2.41483,2077,14.76925
realdonaldtrump,3090,3043,2.58017,1776,12.62888
even,3031,2955,2.50555,2138,15.20302
going,3019,2840,2.40804,2058,14.63415
first,2938,2781,2.35802,2056,14.61992
distancing,2935,2846,2.41313,2200,15.64389
dr,2898,2708,2.29612,1963,13.95861
good,2866,2752,2.33343,2155,15.3239
spread,2862,2779,2.35632,2060,14.64837
medical,2858,2731,2.31562,2005,14.25727
still,2851,2703,2.29188,2046,14.54882
see,2788,2662,2.25712,2018,14.34971
patient,2781,2505,2.124,1842,13.0982
lockdown,2751,2631,2.23083,1732,12.31601
year,2734,2527,2.14265,1923,13.67418
doctor,2713,2565,2.17487,1899,13.50352
family,2705,2507,2.12569,1947,13.84484
back,2680,2562,2.17233,1939,13.78795
every,2637,2463,2.08839,1867,13.27597
think,2632,2509,2.12739,1924,13.68129
way,2616,2520,2.13672,1963,13.95861
outbreak,2607,2530,2.14519,1842,13.0982
2,2595,2403,2.03751,1816,12.91332
medium,2564,2334,1.97901,1649,11.72581
