Topic Number,Compound (Mean),Compound (Std Dev),Positive (Mean),Positive (Std Dev),Negative (Mean),Negative (Std Dev),Neutral (Mean),Neutral (Std Dev)
1,0.01552,0.46607,0.09161,0.11387,0.0836,0.10513,0.8248,0.14123
2,0.02142,0.40964,0.07296,0.10472,0.06367,0.09542,0.86336,0.13349
3,0.01589,0.34719,0.04921,0.0771,0.04289,0.07528,0.9079,0.10166
4,0.06712,0.40945,0.07751,0.09821,0.05453,0.0798,0.86796,0.11609
5,-0.16664,0.43516,0.05342,0.08069,0.10928,0.11771,0.8373,0.13108
6,-0.02378,0.48079,0.08864,0.11279,0.0922,0.11242,0.81917,0.14126
7,-0.2041,0.44576,0.05132,0.0788,0.11621,0.12339,0.83248,0.13407
8,-0.01531,0.42401,0.07203,0.09785,0.07533,0.09939,0.85264,0.12626
9,0.05377,0.42748,0.07986,0.10064,0.06764,0.10095,0.85249,0.1321
10,0.03569,0.36678,0.0578,0.09173,0.04748,0.08823,0.89472,0.12426
