Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,pandemic,58640,56756,9482
1,job,6600,6188,3187
1,time,17769,16939,6018
1,need,18403,17132,5760
1,thing,7976,7642,3752
1,economy,5971,5684,2781
1,great,5319,5164,3103
1,worker,6037,5369,2768
1,way,7439,7237,3663
1,money,4891,4447,2389
1,right,11236,10671,4330
1,working,5392,5119,2946
1,crisis,5771,5475,2686
1,work,12582,11490,4931
1,make,12150,11791,4817
2,mask,41544,34088,7706
2,wear,18678,16938,5704
2,social,10461,9994,4613
2,distancing,7864,7643,3969
2,face,6330,5859,3168
2,wearing,5929,5571,3070
2,hand,4565,4366,2697
2,mandatory,3237,3018,1804
2,yes,2786,2638,1838
2,distance,2384,2295,1645
2,wearamask,1520,1513,975
2,protect,4551,4296,2595
2,asking,1950,1898,1451
2,rule,2957,2764,1905
2,man,3631,3295,2084
3,case,35761,27228,6413
3,new,29713,25831,6562
3,report,7397,7106,3223
3,number,10155,9222,3958
3,today,14931,14347,5269
3,day,22518,19210,5876
3,million,14669,11750,4326
3,july,5549,5080,2575
3,outbreak,8187,7724,3404
3,total,4939,4335,2236
3,update,4352,4275,1949
3,reported,4868,4330,2331
3,toronto,4352,3985,2063
3,bc,5053,4682,2087
3,ontario,7933,7379,2967
4,school,27124,22069,5146
4,kid,10542,8971,3508
4,child,12925,10674,3898
4,safe,8264,7731,3769
4,student,7290,6356,2779
4,teacher,6059,5437,2492
4,open,5627,5077,2815
4,plan,11386,9926,3851
4,ableg,5438,5437,1005
4,risk,6684,6173,3183
4,reopen,4045,3880,2124
4,parent,4100,3774,2147
4,onpoli,3999,3989,1473
4,fordnation,3135,3052,1136
4,pandemic,58640,56756,9482
5,trump,43922,37784,4497
5,realdonaldtrump,9630,9347,2550
5,president,11768,10897,3015
5,american,17311,15529,3785
5,house,5764,5474,2480
5,gop,5135,4715,1598
5,white,5032,4763,2189
5,republican,6638,6285,1921
5,dead,4147,3896,1969
5,administration,3709,3645,1650
5,donald,3839,3727,1600
5,virus,19996,18288,5312
5,election,5770,5338,2318
5,vote,5349,4803,2120
5,cain,2629,2296,1246
6,people,41503,36674,7849
6,home,14714,13583,5277
6,stay,8508,7784,4133
6,know,14430,13504,5128
6,patient,7897,7146,3140
6,getting,4755,4611,2698
6,sick,4779,4491,2530
6,really,5904,5106,2904
6,think,10457,9905,4235
6,virus,19996,18288,5312
6,lot,4163,3968,2558
6,got,6149,5705,3096
6,going,11548,10618,4463
6,hospital,6334,5872,2886
6,symptom,3107,2789,1867
7,death,27962,22832,5263
7,state,15321,13832,3838
7,year,11547,10575,4532
7,died,10759,9382,3263
7,country,12963,12052,4342
7,rate,5327,4874,2625
7,florida,6620,5806,2258
7,flu,3764,3193,1729
7,hit,4083,3878,2393
7,thousand,3616,3425,1984
7,united,3354,3266,1771
7,pandemic,58640,56756,9482
7,texas,3701,3381,1527
7,people,41503,36674,7849
7,die,5897,5471,2582
8,vaccine,10293,8689,3360
8,dr,11462,10714,3820
8,doctor,10173,9242,3380
8,hydroxychloroquine,7548,7176,2242
8,fauci,7460,6815,2433
8,news,8884,8473,3567
8,say,21491,19801,5667
8,health,20161,18477,5752
8,medical,5700,5354,2733
8,medium,6760,6483,2845
8,expert,5380,5230,2756
8,video,4619,4293,2303
8,twitter,3912,3446,2083
8,watch,4173,4038,2289
8,cure,3093,2803,1534
9,positive,12106,11284,4033
9,test,11955,10214,4022
9,tested,7591,6818,3114
9,testing,8312,7506,3195
9,pandemic,58640,56756,9482
9,result,4766,4375,2536
9,day,22518,19210,5876
9,week,11731,11004,4263
9,gohmert,2499,2301,1067
9,member,3386,3259,1960
9,team,2864,2669,1840
9,season,2119,2018,1449
9,staff,5077,4681,2426
9,tell,5427,5279,2865
9,louie,1665,1628,887
10,canada,16631,15007,5134
10,canadian,10166,9292,3771
10,cdnpoli,8114,8086,2361
10,china,8808,7158,2663
10,le,8100,6439,2739
10,app,4414,3345,1965
10,virus,19996,18288,5312
10,trudeau,4868,4502,1775
10,liberal,4043,3713,1738
10,alert,2428,2382,1523
10,et,3847,3045,907
10,justintrudeau,2303,2271,1021
10,chinese,2250,2091,1115
10,government,13231,12589,4697
10,border,1979,1867,1315
