Tweet ID,Weight,Total Times Tweeted,Tweet Text
1278141765355294720,0.02888,19,"Tuesday, June 30, 2020
Today, Texas reports 6,975 more confirmed cases of COVID-19.  A new single day record in Texas.
The previous 7 days:
Monday - 4,288
Sunday - 5,357
Saturday - 5,742
Friday - 5,707
Thursday - 5,996.
Wed. - 5,551
Tue. - 5,489
A total of 45,105 cases.  
#khou"
1280148323563945984,0.02685,14,"New: Ontario is reporting 0 new #COVID19 deaths today, the first time in months
• 154 new cases
• 5 day rolling avg: 148 (last wk: 179)  
• total cases: 35.9K
• 87.4% resolved (up 160)
• 2,689 total deaths
• daily tests: 17.3K
• backlog: 8.9K
• 118 hospitalized (down 21)"
1279863984166846465,0.02626,1,"“The rolling 7-day average for daily new cases in the U.S. reached a record high for the 27th day in a row, climbing to 48,606 on Sunday, according to The Washington Post’s tracking. Coronavirus-related hospitalizations rose to their highest levels to date in Arizona &amp; Nevada.” https://t.co/Bk5plrlGtE"
1278495297019281409,0.0253,6,"""In 45 states, seven-day averages of new infections are higher than they were a week ago, according to a Post analysis. Record numbers of new cases were also reported in six states — Texas, Arizona, South Carolina, Oklahoma, Idaho and Alaska — on Tuesday.""
https://t.co/lpy1zFVgTM"
1278698360426434560,0.0252,5,"New: after pausing for Canada Day, Ontario has released updated #covid19 numbers:
• 153 new cases today, 149 yesterday
• 5 day rolling avg: 178 (last wk: 180)  
• total cases: 35.3K
• 86.9% resolved (up 204)
• 2,680 deaths, up 8
• daily tests: 24.3K
• backlog: 13.9K"
1277975727271378946,0.02514,2,"New: Ontario is reporting 157 new cases of #covid19 today
• 5 day rolling avg: 172 (last wk: 187)
• total cases: 35K
• 86.5% resolved (up 148)
• 2,672 deaths, up 7
• daily tests: 23.7K
• backlog: 19.3K
• 213 hospitalized (down 19), 42 in ICU, 34 on a ventilator #COVID19"
1278980495276077062,0.02509,1,"2/3 July 2nd #COVID19 Update

#US Stats
2.7 Million Cases
125,651 Deaths
US Sets single day record for new #COVID Cases: 55,220

Top 10 Single Day Increases
10,109 #FL
6,707 #TX
6,153 #CA
3,472 #GA
3,333 #AZ
1,855 #NC
1,782 #SC
1,575 #TN
1,383 #LA
1,149 #AL

📊: NY Times https://t.co/aVZVVkOYRR"
1279412670429630464,0.025,1,"Yes but US Death rate 4.2% is low, was up to almost double &amp; 5.9 May 25. Cda 8.2 is up (quebec 10%, ontario 7.3), was 7.6% May 25. UK still 15.5, France 14.6, Italy 14.4, Belgium 15.8. Highest US deaths CT 9.3%, NJ 8.8, MI 8.6, NY 8, MA 7.4, MH 6.4, IN 5.7. And FL2.1, TX 1.4. https://t.co/Qeyq8xXxaa"
1276531344294715392,0.02488,28,"Number of COVID-19 cases in Florida soars, with 8,942 cases in last day; previous record of 5,508 set 2 days ago. By comparison, the highest number of daily cases in Ontario (with 2/3rd the population) was 640 on April 24. Story to be updated at this link: https://t.co/eEqkNOnlI6"
1275990800975839232,0.02475,33,"The US just recorded its highest number of new coronavirus cases in a single day — nearly 36,000 — and several states still haven't reported their full caseloads. Prior high was 34,203 on 4/25, at the end of a brutal month. Virus is soaring in FL, TX, AZ. https://t.co/ISxgHjTw4c"
1278789897718059010,0.02455,3,"How bad is the Southern US #COVID19 crisis?

As an index, Ontario reported 216 new cases today. Here I:

a) Adjusted various states’ daily new cases to ON pop size &amp;
b) Calculated orders of magnitude

AZ 9800 45x
FL 6700 31x
SC 4200 19x
TX 3900 18x
NC 2400 11x
CA 2300 11x

Yeah."
1278813527449337858,0.02448,1,"BC has seen 24 new cases of #COVID19 over the last 48 hours, and sadly, 3 deaths. Northern Health is reporting no new cases for the 24th straight day.

BC Numbers:
- 2940 total cases
- 177 deaths
- 17 in hospital, 2 in ICU (-2)
- 160 active cases 
- 2603 recovered (+13)"
1276275751856168961,0.02448,1,"17 straight days with no new #COVID19 cases in Northern Health (65 total). The province has announced 20 new cases of the virus in BC today (2,869 total) and 2 more deaths (173 deaths).

- 179 active cases
- 15 hospitalized (+1), 7 in ICU
- 2,517 recovered"
1276967262642110464,0.02418,6,"New U.S. coronavirus infections break record, hit nearly 46K in single day.

The 45,942 single-day increase was driven by more than 8,000 new cases in Florida and thousands more in Texas, Arizona and California, according to an NBC News tally.

https://t.co/HABpzCftNs"
1276117388757397504,0.02416,1,"#Coronavirus Latest: 

* New cases in #CA have risen by nearly 70% in the last two days

* 5K cases reported Tuesday To 7K+ Wednesday 

* 29% rise in hospitalizations 

* #OC reported its highest one day total of deaths since the pandemic began; 26 deaths w/354 new cases https://t.co/Z9r7lpQaF6"
